Country or Area,Subgroup,Unit,Prevalence of underweight (moderate and severe) - WHO
Togo,Ratio of rural to urban,Ratio,1.9
Tunisia,Total <5 yr,Percent,3.0
Turkey,Total <5 yr,Percent,2.0
Turkey,Rural,Percent,3.0
Turkey,Urban,Percent,1.0
Turkey,Poorest 20%,Percent,4.0
Turkey,Richest 20%,Percent,1.0
Turkey,Ratio of poorest to richest,Ratio,8.4
Turkey,Ratio of rural to urban,Ratio,2.1
Turkmenistan,Total <5 yr,Percent,8.0
Turkmenistan,Rural,Percent,9.0
Turkmenistan,Urban,Percent,7.0
Turkmenistan,Poorest 20%,Percent,8.0
Turkmenistan,Richest 20%,Percent,2.0
Turkmenistan,Ratio of poorest to richest,Ratio,3.2
Turkmenistan,Ratio of rural to urban,Ratio,1.2
Tuvalu,Total <5 yr,Percent,2.0
Tuvalu,Poorest 20%,Percent,1.0
Tuvalu,Richest 20%,Percent,0.0
Uganda,Total <5 yr,Percent,14.0
Uganda,Rural,Percent,15.0
Uganda,Urban,Percent,7.0
Uganda,Ratio of rural to urban,Ratio,2.3
United Republic of Tanzania,Total <5 yr,Percent,16.0
United Republic of Tanzania,Rural,Percent,17.0
United Republic of Tanzania,Urban,Percent,11.0
United Republic of Tanzania,Poorest 20%,Percent,22.0
United Republic of Tanzania,Richest 20%,Percent,9.0
United Republic of Tanzania,Ratio of poorest to richest,Ratio,2.3
United Republic of Tanzania,Ratio of rural to urban,Ratio,1.5
United States,Total <5 yr,Percent,1.0
Uruguay,Total <5 yr,Percent,5.0
Uzbekistan,Total <5 yr,Percent,4.0
Uzbekistan,Rural,Percent,4.0
Uzbekistan,Urban,Percent,4.0
Uzbekistan,Poorest 20%,Percent,5.0
Uzbekistan,Richest 20%,Percent,3.0
Uzbekistan,Ratio of poorest to richest,Ratio,1.5
Uzbekistan,Ratio of rural to urban,Ratio,0.9
Vanuatu,Rural,Percent,11.0
Vanuatu,Urban,Percent,11.0
Vanuatu,Poorest 20%,Percent,12.0
Vanuatu,Richest 20%,Percent,10.0
Vanuatu,Ratio of poorest to richest,Ratio,1.2
Vanuatu,Ratio of rural to urban,Ratio,1.0
Venezuela (Bolivarian Republic of),Total <5 yr,Percent,4.0
Viet Nam,Total <5 yr,Percent,12.0
Viet Nam,Rural,Percent,14.0
Viet Nam,Urban,Percent,6.0
Viet Nam,Poorest 20%,Percent,21.0
Viet Nam,Richest 20%,Percent,3.0
Viet Nam,Ratio of poorest to richest,Ratio,6.6
Viet Nam,Ratio of rural to urban,Ratio,2.3
Western and Central Africa,Total <5 yr,Percent,23.0
Western and Central Africa,Rural,Percent,26.0
Western and Central Africa,Urban,Percent,16.0
Western and Central Africa,Poorest 20%,Percent,31.0
Western and Central Africa,Richest 20%,Percent,11.0
Western and Central Africa,Ratio of poorest to richest,Ratio,2.7
Western and Central Africa,Ratio of rural to urban,Ratio,1.7
World,Total <5 yr,Percent,16.0
World,Rural,Percent,28.0
World,Urban,Percent,15.0
World,Poorest 20%,Percent,39.0
World,Richest 20%,Percent,14.0
World,Ratio of poorest to richest,Ratio,2.7
World,Ratio of rural to urban,Ratio,1.9
Yemen,Total <5 yr,Percent,43.0
Zambia,Total <5 yr,Percent,15.0
Zambia,Rural,Percent,15.0
Zambia,Urban,Percent,13.0
Zambia,Poorest 20%,Percent,16.0
Zambia,Richest 20%,Percent,11.0
Zambia,Ratio of poorest to richest,Ratio,1.5
Zambia,Ratio of rural to urban,Ratio,1.2
Zimbabwe,Total <5 yr,Percent,10.0
Zimbabwe,Rural,Percent,10.0
Zimbabwe,Urban,Percent,8.0
Zimbabwe,Ratio of rural to urban,Ratio,1.3
