Country or Area,Subgroup,Unit,Population size
Mozambique,Total,Thousand,23930.0
Mozambique,Total 10-19 yr,Thousand,5577.0
Mozambique,Total 10-19 yr,Percent,23.0
Myanmar,Total <18 yr,Thousand,14832.0
Myanmar,Total <5 yr,Thousand,3981.0
Myanmar,Total,Thousand,48337.0
Myanmar,Total 10-19 yr,Thousand,8665.0
Myanmar,Total 10-19 yr,Percent,18.0
Namibia,Total <18 yr,Thousand,994.0
Namibia,Total <5 yr,Thousand,288.0
Namibia,Total,Thousand,2324.0
Namibia,Total 10-19 yr,Thousand,530.0
Namibia,Total 10-19 yr,Percent,23.0
Nauru,Total <18 yr,Thousand,4.0
Nauru,Total <5 yr,Thousand,1.0
Nauru,Total,Thousand,10.0
Nepal,Total <18 yr,Thousand,12883.0
Nepal,Total <5 yr,Thousand,3453.0
Nepal,Total,Thousand,30486.0
Nepal,Total 10-19 yr,Thousand,7043.0
Nepal,Total 10-19 yr,Percent,23.0
Netherlands,Total <18 yr,Thousand,3526.0
Netherlands,Total <5 yr,Thousand,907.0
Netherlands,Total,Thousand,16665.0
Netherlands,Total 10-19 yr,Thousand,2019.0
Netherlands,Total 10-19 yr,Percent,12.0
New Zealand,Total <18 yr,Thousand,1091.0
New Zealand,Total <5 yr,Thousand,320.0
New Zealand,Total,Thousand,4415.0
New Zealand,Total 10-19 yr,Thousand,612.0
New Zealand,Total 10-19 yr,Percent,14.0
Nicaragua,Total <18 yr,Thousand,2390.0
Nicaragua,Total <5 yr,Thousand,684.0
Nicaragua,Total,Thousand,5870.0
Nicaragua,Total 10-19 yr,Thousand,1319.0
Nicaragua,Total 10-19 yr,Percent,22.0
Niger,Total <18 yr,Thousand,8922.0
Niger,Total <5 yr,Thousand,3196.0
Niger,Total,Thousand,16069.0
Niger,Total 10-19 yr,Thousand,3776.0
Niger,Total 10-19 yr,Percent,24.0
Nigeria,Total <18 yr,Thousand,79931.0
Nigeria,Total <5 yr,Thousand,27195.0
Nigeria,Total,Thousand,162471.0
Nigeria,Total 10-19 yr,Thousand,36205.0
Nigeria,Total 10-19 yr,Percent,22.0
Niue,Total <18 yr,Thousand,1.0
Niue,Total <5 yr,Thousand,0.0
Niue,Total,Thousand,1.0
Norway,Total <18 yr,Thousand,1117.0
Norway,Total <5 yr,Thousand,309.0
Norway,Total,Thousand,4925.0
Norway,Total 10-19 yr,Thousand,646.0
Norway,Total 10-19 yr,Percent,13.0
Oman,Total <18 yr,Thousand,910.0
Oman,Total <5 yr,Thousand,290.0
Oman,Total,Thousand,2846.0
Oman,Total 10-19 yr,Thousand,462.0
Oman,Total 10-19 yr,Percent,16.0
Pakistan,Total <18 yr,Thousand,73756.0
Pakistan,Total <5 yr,Thousand,22064.0
Pakistan,Total,Thousand,176745.0
Pakistan,Total 10-19 yr,Thousand,39894.0
Pakistan,Total 10-19 yr,Percent,23.0
Palau,Total <18 yr,Thousand,7.0
Palau,Total <5 yr,Thousand,2.0
Palau,Total,Thousand,21.0
Panama,Total <18 yr,Thousand,1213.0
Panama,Total <5 yr,Thousand,345.0
Panama,Total,Thousand,3571.0
Panama,Total 10-19 yr,Thousand,646.0
Panama,Total 10-19 yr,Percent,18.0
Papua New Guinea,Total <18 yr,Thousand,3168.0
Papua New Guinea,Total <5 yr,Thousand,975.0
Papua New Guinea,Total,Thousand,7014.0
Papua New Guinea,Total 10-19 yr,Thousand,1561.0
Papua New Guinea,Total 10-19 yr,Percent,22.0
Paraguay,Total <18 yr,Thousand,2587.0
Paraguay,Total <5 yr,Thousand,744.0
Paraguay,Total,Thousand,6568.0
Paraguay,Total 10-19 yr,Thousand,1385.0
Paraguay,Total 10-19 yr,Percent,21.0
Peru,Total <18 yr,Thousand,10421.0
Peru,Total <5 yr,Thousand,2902.0
Peru,Total,Thousand,29400.0
Peru,Total 10-19 yr,Thousand,5769.0
Peru,Total 10-19 yr,Percent,20.0
Philippines,Total <18 yr,Thousand,39205.0
Philippines,Total <5 yr,Thousand,11161.0
Philippines,Total,Thousand,94852.0
Philippines,Total 10-19 yr,Thousand,20508.0
Philippines,Total 10-19 yr,Percent,22.0
Poland,Total <18 yr,Thousand,7023.0
Poland,Total <5 yr,Thousand,2008.0
Poland,Total,Thousand,38299.0
Poland,Total 10-19 yr,Thousand,4300.0
Poland,Total 10-19 yr,Percent,11.0
Portugal,Total <18 yr,Thousand,1930.0
Portugal,Total <5 yr,Thousand,501.0
Portugal,Total,Thousand,10690.0
Portugal,Total 10-19 yr,Thousand,1100.0
Portugal,Total 10-19 yr,Percent,10.0
Qatar,Total <18 yr,Thousand,302.0
Qatar,Total <5 yr,Thousand,97.0
Qatar,Total,Thousand,1870.0
Qatar,Total 10-19 yr,Thousand,151.0
Qatar,Total 10-19 yr,Percent,8.0
Republic of Korea,Total <18 yr,Thousand,9842.0
Republic of Korea,Total <5 yr,Thousand,2488.0
Republic of Korea,Total,Thousand,48391.0
Republic of Korea,Total 10-19 yr,Thousand,6458.0
Republic of Korea,Total 10-19 yr,Percent,13.0
Republic of Moldova,Total <18 yr,Thousand,740.0
Republic of Moldova,Total <5 yr,Thousand,223.0
Republic of Moldova,Total,Thousand,3545.0
Republic of Moldova,Total 10-19 yr,Thousand,459.0
Republic of Moldova,Total 10-19 yr,Percent,13.0
Romania,Total <18 yr,Thousand,3928.0
Romania,Total <5 yr,Thousand,1093.0
Romania,Total,Thousand,21436.0
Romania,Total 10-19 yr,Thousand,2252.0
Romania,Total 10-19 yr,Percent,11.0
Russian Federation,Total <18 yr,Thousand,26115.0
Russian Federation,Total <5 yr,Thousand,8264.0
Russian Federation,Total,Thousand,142836.0
Russian Federation,Total 10-19 yr,Thousand,14023.0
Russian Federation,Total 10-19 yr,Percent,10.0
Rwanda,Total <18 yr,Thousand,5352.0
Rwanda,Total <5 yr,Thousand,1909.0
Rwanda,Total,Thousand,10943.0
Rwanda,Total 10-19 yr,Thousand,2356.0
Rwanda,Total 10-19 yr,Percent,22.0
Saint Kitts and Nevis,Total <18 yr,Thousand,17.0
Saint Kitts and Nevis,Total <5 yr,Thousand,5.0
Saint Kitts and Nevis,Total,Thousand,53.0
Saint Lucia,Total <18 yr,Thousand,55.0
Saint Lucia,Total <5 yr,Thousand,15.0
Saint Lucia,Total,Thousand,176.0
Saint Lucia,Total 10-19 yr,Thousand,32.0
Saint Lucia,Total 10-19 yr,Percent,18.0
Saint Vincent and the Grenadines,Total <18 yr,Thousand,35.0
Saint Vincent and the Grenadines,Total <5 yr,Thousand,9.0
Saint Vincent and the Grenadines,Total,Thousand,109.0
Saint Vincent and the Grenadines,Total 10-19 yr,Thousand,21.0
Saint Vincent and the Grenadines,Total 10-19 yr,Percent,19.0
Samoa,Total <18 yr,Thousand,81.0
Samoa,Total <5 yr,Thousand,22.0
Samoa,Total,Thousand,184.0
Samoa,Total 10-19 yr,Thousand,44.0
Samoa,Total 10-19 yr,Percent,24.0
San Marino,Total <18 yr,Thousand,6.0
San Marino,Total <5 yr,Thousand,2.0
San Marino,Total,Thousand,32.0
Sao Tome and Principe,Total <18 yr,Thousand,79.0
Sao Tome and Principe,Total <5 yr,Thousand,24.0
Sao Tome and Principe,Total,Thousand,169.0
Sao Tome and Principe,Total 10-19 yr,Thousand,40.0
Sao Tome and Principe,Total 10-19 yr,Percent,24.0
Saudi Arabia,Total <18 yr,Thousand,9923.0
Saudi Arabia,Total <5 yr,Thousand,3186.0
Saudi Arabia,Total,Thousand,28083.0
Saudi Arabia,Total 10-19 yr,Thousand,4926.0
Saudi Arabia,Total 10-19 yr,Percent,18.0
Senegal,Total <18 yr,Thousand,6425.0
Senegal,Total <5 yr,Thousand,2125.0
Senegal,Total,Thousand,12768.0
Senegal,Total 10-19 yr,Thousand,3004.0
Senegal,Total 10-19 yr,Percent,24.0
Serbia,Total <18 yr,Thousand,2089.0
Serbia,Total <5 yr,Thousand,551.0
Serbia,Total,Thousand,9854.0
Serbia,Total 10-19 yr,Thousand,1207.0
Serbia,Total 10-19 yr,Percent,12.0
Seychelles,Total <18 yr,Thousand,43.0
Seychelles,Total <5 yr,Thousand,14.0
Seychelles,Total,Thousand,87.0
Sierra Leone,Total <18 yr,Thousand,2965.0
Sierra Leone,Total <5 yr,Thousand,984.0
Sierra Leone,Total,Thousand,5997.0
Sierra Leone,Total 10-19 yr,Thousand,1366.0
Sierra Leone,Total 10-19 yr,Percent,23.0
Singapore,Total <18 yr,Thousand,1104.0
Singapore,Total <5 yr,Thousand,238.0
Singapore,Total,Thousand,5188.0
Singapore,Total 10-19 yr,Thousand,747.0
Singapore,Total 10-19 yr,Percent,14.0
Slovakia,Total <18 yr,Thousand,1024.0
Slovakia,Total <5 yr,Thousand,281.0
Slovakia,Total,Thousand,5472.0
Slovakia,Total 10-19 yr,Thousand,635.0
Slovakia,Total 10-19 yr,Percent,12.0
Slovenia,Total <18 yr,Thousand,344.0
Slovenia,Total <5 yr,Thousand,102.0
Slovenia,Total,Thousand,2035.0
Slovenia,Total 10-19 yr,Thousand,193.0
Slovenia,Total 10-19 yr,Percent,9.0
Solomon Islands,Total <18 yr,Thousand,254.0
Solomon Islands,Total <5 yr,Thousand,81.0
Solomon Islands,Total,Thousand,552.0
Solomon Islands,Total 10-19 yr,Thousand,121.0
Solomon Islands,Total 10-19 yr,Percent,22.0
Somalia,Total <18 yr,Thousand,4896.0
Somalia,Total <5 yr,Thousand,1701.0
Somalia,Total,Thousand,9557.0
Somalia,Total 10-19 yr,Thousand,2140.0
Somalia,Total 10-19 yr,Percent,22.0
South Africa,Total <18 yr,Thousand,18045.0
South Africa,Total <5 yr,Thousand,4989.0
South Africa,Total,Thousand,50460.0
South Africa,Total 10-19 yr,Thousand,9940.0
South Africa,Total 10-19 yr,Percent,20.0
South Asia,Total <18 yr,Thousand,614255.0
South Asia,Total <5 yr,Thousand,176150.0
South Asia,Total,Thousand,1653679.0
South Asia,Total 10-19 yr,Thousand,333425.0
South Asia,Total 10-19 yr,Percent,20.0
South Sudan,Total,Thousand,10314.0
Spain,Total <18 yr,Thousand,8306.0
Spain,Total <5 yr,Thousand,2546.0
Spain,Total,Thousand,46455.0
Spain,Total 10-19 yr,Thousand,4299.0
Spain,Total 10-19 yr,Percent,9.0
Sri Lanka,Total <18 yr,Thousand,6183.0
Sri Lanka,Total <5 yr,Thousand,1886.0
Sri Lanka,Total,Thousand,21045.0
Sri Lanka,Total 10-19 yr,Thousand,3165.0
Sri Lanka,Total 10-19 yr,Percent,15.0
State of Palestine,Total <18 yr,Thousand,2051.0
State of Palestine,Total <5 yr,Thousand,635.0
State of Palestine,Total,Thousand,4152.0
State of Palestine,Total 10-19 yr,Thousand,1040.0
State of Palestine,Total 10-19 yr,Percent,25.0
Sub-Saharan Africa,Total <18 yr,Thousand,428333.0
Sub-Saharan Africa,Total <5 yr,Thousand,140617.0
Sub-Saharan Africa,Total,Thousand,876497.0
Sub-Saharan Africa,Total 10-19 yr,Thousand,200971.0
Sub-Saharan Africa,Total 10-19 yr,Percent,23.0
Sudan,Total,Thousand,34318.0
Sudan (pre-cession),Total <18 yr,Thousand,20660.0
Sudan (pre-cession),Total <5 yr,Thousand,6472.0
Sudan (pre-cession),Total 10-19 yr,Thousand,10044.0
Sudan (pre-cession),Total 10-19 yr,Percent,23.0
Suriname,Total <18 yr,Thousand,176.0
Suriname,Total <5 yr,Thousand,47.0
Suriname,Total,Thousand,529.0
Suriname,Total 10-19 yr,Thousand,96.0
Suriname,Total 10-19 yr,Percent,18.0
Swaziland,Total <18 yr,Thousand,548.0
Swaziland,Total <5 yr,Thousand,158.0
Swaziland,Total,Thousand,1203.0
Swaziland,Total 10-19 yr,Thousand,301.0
Swaziland,Total 10-19 yr,Percent,25.0
Sweden,Total <18 yr,Thousand,1916.0
Sweden,Total <5 yr,Thousand,562.0
Sweden,Total,Thousand,9441.0
Sweden,Total 10-19 yr,Thousand,1097.0
Sweden,Total 10-19 yr,Percent,12.0
Switzerland,Total <18 yr,Thousand,1435.0
Switzerland,Total <5 yr,Thousand,382.0
Switzerland,Total,Thousand,7702.0
Switzerland,Total 10-19 yr,Thousand,867.0
Switzerland,Total 10-19 yr,Percent,11.0
Syrian Arab Republic,Total <18 yr,Thousand,8923.0
Syrian Arab Republic,Total <5 yr,Thousand,2446.0
Syrian Arab Republic,Total,Thousand,20766.0
Syrian Arab Republic,Total 10-19 yr,Thousand,4786.0
Syrian Arab Republic,Total 10-19 yr,Percent,23.0
Tajikistan,Total <18 yr,Thousand,3052.0
Tajikistan,Total <5 yr,Thousand,883.0
Tajikistan,Total,Thousand,6977.0
Tajikistan,Total 10-19 yr,Thousand,1670.0
Tajikistan,Total 10-19 yr,Percent,24.0
Thailand,Total <18 yr,Thousand,17111.0
Thailand,Total <5 yr,Thousand,4270.0
Thailand,Total,Thousand,69519.0
Thailand,Total 10-19 yr,Thousand,10192.0
Thailand,Total 10-19 yr,Percent,15.0
The former Yugoslav Republic of Macedonia,Total <18 yr,Thousand,445.0
The former Yugoslav Republic of Macedonia,Total <5 yr,Thousand,112.0
The former Yugoslav Republic of Macedonia,Total,Thousand,2064.0
The former Yugoslav Republic of Macedonia,Total 10-19 yr,Thousand,280.0
The former Yugoslav Republic of Macedonia,Total 10-19 yr,Percent,14.0
Timor-Leste,Total <18 yr,Thousand,616.0
Timor-Leste,Total <5 yr,Thousand,201.0
Timor-Leste,Total,Thousand,1154.0
Timor-Leste,Total 10-19 yr,Thousand,301.0
Timor-Leste,Total 10-19 yr,Percent,26.0
Togo,Total <18 yr,Thousand,2831.0
Togo,Total <5 yr,Thousand,870.0
Togo,Total,Thousand,6155.0
Togo,Total 10-19 yr,Thousand,1416.0
Togo,Total 10-19 yr,Percent,23.0
Tonga,Total <18 yr,Thousand,46.0
Tonga,Total <5 yr,Thousand,14.0
Tonga,Total,Thousand,105.0
Tonga,Total 10-19 yr,Thousand,23.0
Tonga,Total 10-19 yr,Percent,22.0
Trinidad and Tobago,Total <18 yr,Thousand,334.0
Trinidad and Tobago,Total <5 yr,Thousand,96.0
Trinidad and Tobago,Total,Thousand,1346.0
Trinidad and Tobago,Total 10-19 yr,Thousand,189.0
Trinidad and Tobago,Total 10-19 yr,Percent,14.0
Tunisia,Total <18 yr,Thousand,3001.0
Tunisia,Total <5 yr,Thousand,885.0
Tunisia,Total,Thousand,10594.0
Tunisia,Total 10-19 yr,Thousand,1709.0
Tunisia,Total 10-19 yr,Percent,16.0
Turkey,Total <18 yr,Thousand,23107.0
Turkey,Total <5 yr,Thousand,6489.0
Turkey,Total,Thousand,73640.0
Turkey,Total 10-19 yr,Thousand,13004.0
Turkey,Total 10-19 yr,Percent,18.0
Turkmenistan,Total <18 yr,Thousand,1785.0
Turkmenistan,Total <5 yr,Thousand,499.0
Turkmenistan,Total,Thousand,5105.0
Turkmenistan,Total 10-19 yr,Thousand,1013.0
Turkmenistan,Total 10-19 yr,Percent,20.0
Tuvalu,Total <18 yr,Thousand,4.0
Tuvalu,Total <5 yr,Thousand,1.0
Tuvalu,Total,Thousand,10.0
Uganda,Total <18 yr,Thousand,19042.0
Uganda,Total <5 yr,Thousand,6638.0
Uganda,Total,Thousand,34509.0
Uganda,Total 10-19 yr,Thousand,8326.0
Uganda,Total 10-19 yr,Percent,24.0
Ukraine,Total <18 yr,Thousand,7977.0
Ukraine,Total <5 yr,Thousand,2465.0
Ukraine,Total,Thousand,45190.0
Ukraine,Total 10-19 yr,Thousand,4638.0
Ukraine,Total 10-19 yr,Percent,10.0
United Arab Emirates,Total <18 yr,Thousand,1590.0
United Arab Emirates,Total <5 yr,Thousand,451.0
United Arab Emirates,Total,Thousand,7891.0
United Arab Emirates,Total 10-19 yr,Thousand,898.0
United Arab Emirates,Total 10-19 yr,Percent,12.0
United Kingdom,Total <18 yr,Thousand,13153.0
United Kingdom,Total <5 yr,Thousand,3858.0
United Kingdom,Total,Thousand,62417.0
United Kingdom,Total 10-19 yr,Thousand,7442.0
United Kingdom,Total 10-19 yr,Percent,12.0
United Republic of Tanzania,Total <18 yr,Thousand,23690.0
United Republic of Tanzania,Total <5 yr,Thousand,8267.0
United Republic of Tanzania,Total,Thousand,46218.0
United Republic of Tanzania,Total 10-19 yr,Thousand,10475.0
United Republic of Tanzania,Total 10-19 yr,Percent,23.0
United States,Total <18 yr,Thousand,75491.0
United States,Total <5 yr,Thousand,21629.0
United States,Total,Thousand,313085.0
United States,Total 10-19 yr,Thousand,41478.0
United States,Total 10-19 yr,Percent,13.0
Uruguay,Total <18 yr,Thousand,912.0
Uruguay,Total <5 yr,Thousand,245.0
Uruguay,Total,Thousand,3380.0
Uruguay,Total 10-19 yr,Thousand,524.0
Uruguay,Total 10-19 yr,Percent,15.0
Uzbekistan,Total <18 yr,Thousand,9849.0
Uzbekistan,Total <5 yr,Thousand,2802.0
Uzbekistan,Total,Thousand,27760.0
Uzbekistan,Total 10-19 yr,Thousand,5798.0
Uzbekistan,Total 10-19 yr,Percent,21.0
Vanuatu,Total <18 yr,Thousand,109.0
Vanuatu,Total <5 yr,Thousand,34.0
Vanuatu,Total,Thousand,246.0
Vanuatu,Total 10-19 yr,Thousand,54.0
Vanuatu,Total 10-19 yr,Percent,22.0
Venezuela (Bolivarian Republic of),Total <18 yr,Thousand,10215.0
Venezuela (Bolivarian Republic of),Total <5 yr,Thousand,2935.0
Venezuela (Bolivarian Republic of),Total,Thousand,29437.0
Venezuela (Bolivarian Republic of),Total 10-19 yr,Thousand,5499.0
Venezuela (Bolivarian Republic of),Total 10-19 yr,Percent,19.0
Viet Nam,Total <18 yr,Thousand,25532.0
Viet Nam,Total <5 yr,Thousand,7202.0
Viet Nam,Total,Thousand,88792.0
Viet Nam,Total 10-19 yr,Thousand,15251.0
Viet Nam,Total 10-19 yr,Percent,17.0
Western and Central Africa,Total <18 yr,Thousand,210616.0
Western and Central Africa,Total <5 yr,Thousand,70843.0
Western and Central Africa,Total,Thousand,422564.0
Western and Central Africa,Total 10-19 yr,Thousand,96530.0
Western and Central Africa,Total 10-19 yr,Percent,23.0
World,Total <18 yr,Thousand,2207145.0
World,Total <5 yr,Thousand,638681.0
World,Total,Thousand,6934761.0
World,Total 10-19 yr,Thousand,1199890.0
World,Total 10-19 yr,Percent,17.0
Yemen,Total <18 yr,Thousand,12687.0
Yemen,Total <5 yr,Thousand,4179.0
Yemen,Total,Thousand,24800.0
Yemen,Total 10-19 yr,Thousand,6073.0
Yemen,Total 10-19 yr,Percent,25.0
Zambia,Total <18 yr,Thousand,7169.0
Zambia,Total <5 yr,Thousand,2509.0
Zambia,Total,Thousand,13475.0
Zambia,Total 10-19 yr,Thousand,3176.0
Zambia,Total 10-19 yr,Percent,24.0
Zimbabwe,Total <18 yr,Thousand,5841.0
Zimbabwe,Total <5 yr,Thousand,1706.0
Zimbabwe,Total,Thousand,12754.0
Zimbabwe,Total 10-19 yr,Thousand,3196.0
Zimbabwe,Total 10-19 yr,Percent,25.0
