Country or Area,Subgroup,Unit,Proportion of births attended by skilled health personnel
Serbia,Poorest 20%,Percent,99.0
Serbia,Richest 20%,Percent,100.0
Serbia,Ratio of richest to poorest,Ratio,1.0
Sierra Leone,Total,Percent,63.0
Sierra Leone,Rural,Percent,59.0
Sierra Leone,Urban,Percent,72.0
Sierra Leone,Ratio of urban to rural,Ratio,1.2
Sierra Leone,Poorest 20%,Percent,44.0
Sierra Leone,Richest 20%,Percent,85.0
Sierra Leone,Ratio of richest to poorest,Ratio,1.9
Slovakia,Total,Percent,100.0
Slovenia,Total,Percent,100.0
Solomon Islands,Total,Percent,86.0
Solomon Islands,Rural,Percent,84.0
Solomon Islands,Urban,Percent,95.0
Solomon Islands,Ratio of urban to rural,Ratio,1.1
Solomon Islands,Poorest 20%,Percent,74.0
Solomon Islands,Richest 20%,Percent,95.0
Solomon Islands,Ratio of richest to poorest,Ratio,1.3
Somalia,Total,Percent,33.0
Somalia,Rural,Percent,15.0
Somalia,Urban,Percent,65.0
Somalia,Ratio of urban to rural,Ratio,4.5
Somalia,Poorest 20%,Percent,11.0
Somalia,Richest 20%,Percent,77.0
Somalia,Ratio of richest to poorest,Ratio,7.2
South Africa,Total,Percent,91.0
South Africa,Rural,Percent,85.0
South Africa,Urban,Percent,94.0
South Africa,Ratio of urban to rural,Ratio,1.1
South Asia,Total,Percent,49.0
South Asia,Rural,Percent,40.0
South Asia,Urban,Percent,73.0
South Asia,Ratio of urban to rural,Ratio,1.8
South Asia,Poorest 20%,Percent,22.0
South Asia,Richest 20%,Percent,82.0
South Asia,Ratio of richest to poorest,Ratio,3.7
South Sudan,Total,Percent,19.0
South Sudan,Rural,Percent,15.0
South Sudan,Urban,Percent,31.0
South Sudan,Ratio of urban to rural,Ratio,2.0
South Sudan,Poorest 20%,Percent,8.0
South Sudan,Richest 20%,Percent,41.0
South Sudan,Ratio of richest to poorest,Ratio,5.1
Sri Lanka,Total,Percent,99.0
Sri Lanka,Rural,Percent,99.0
Sri Lanka,Urban,Percent,99.0
Sri Lanka,Ratio of urban to rural,Ratio,1.0
Sri Lanka,Poorest 20%,Percent,97.0
Sri Lanka,Richest 20%,Percent,99.0
Sri Lanka,Ratio of richest to poorest,Ratio,1.0
State of Palestine,Total,Percent,99.0
State of Palestine,Rural,Percent,98.0
State of Palestine,Urban,Percent,99.0
State of Palestine,Ratio of urban to rural,Ratio,1.0
State of Palestine,Poorest 20%,Percent,98.0
State of Palestine,Richest 20%,Percent,100.0
State of Palestine,Ratio of richest to poorest,Ratio,1.0
Sub-Saharan Africa,Total,Percent,49.0
Sub-Saharan Africa,Rural,Percent,40.0
Sub-Saharan Africa,Urban,Percent,76.0
Sub-Saharan Africa,Ratio of urban to rural,Ratio,1.9
Sub-Saharan Africa,Poorest 20%,Percent,27.0
Sub-Saharan Africa,Richest 20%,Percent,82.0
Sub-Saharan Africa,Ratio of richest to poorest,Ratio,3.0
Sudan,Total,Percent,23.0
Sudan,Rural,Percent,16.0
Sudan,Urban,Percent,41.0
Sudan,Ratio of urban to rural,Ratio,2.5
Sudan,Poorest 20%,Percent,6.0
Sudan,Richest 20%,Percent,59.0
Sudan,Ratio of richest to poorest,Ratio,10.5
Suriname,Total,Percent,90.0
Suriname,Rural,Percent,82.0
Suriname,Urban,Percent,95.0
Suriname,Ratio of urban to rural,Ratio,1.2
Suriname,Poorest 20%,Percent,81.0
Suriname,Richest 20%,Percent,96.0
Suriname,Ratio of richest to poorest,Ratio,1.2
Swaziland,Total,Percent,82.0
Swaziland,Rural,Percent,80.0
Swaziland,Urban,Percent,89.0
Swaziland,Ratio of urban to rural,Ratio,1.1
Swaziland,Poorest 20%,Percent,65.0
Swaziland,Richest 20%,Percent,94.0
Swaziland,Ratio of richest to poorest,Ratio,1.4
Syrian Arab Republic,Total,Percent,96.0
Syrian Arab Republic,Rural,Percent,93.0
Syrian Arab Republic,Urban,Percent,99.0
Syrian Arab Republic,Ratio of urban to rural,Ratio,1.1
Syrian Arab Republic,Poorest 20%,Percent,78.0
Syrian Arab Republic,Richest 20%,Percent,99.0
Syrian Arab Republic,Ratio of richest to poorest,Ratio,1.3
Tajikistan,Total,Percent,88.0
Tajikistan,Rural,Percent,86.0
Tajikistan,Urban,Percent,95.0
Tajikistan,Ratio of urban to rural,Ratio,1.1
Tajikistan,Poorest 20%,Percent,90.0
Tajikistan,Richest 20%,Percent,90.0
Tajikistan,Ratio of richest to poorest,Ratio,1.0
Thailand,Total,Percent,100.0
Thailand,Rural,Percent,100.0
Thailand,Urban,Percent,100.0
Thailand,Ratio of urban to rural,Ratio,1.0
Thailand,Poorest 20%,Percent,93.0
Thailand,Richest 20%,Percent,100.0
Thailand,Ratio of richest to poorest,Ratio,1.1
The former Yugoslav Republic of Macedonia,Total,Percent,98.0
The former Yugoslav Republic of Macedonia,Rural,Percent,98.0
The former Yugoslav Republic of Macedonia,Urban,Percent,98.0
The former Yugoslav Republic of Macedonia,Ratio of urban to rural,Ratio,1.0
The former Yugoslav Republic of Macedonia,Poorest 20%,Percent,98.0
The former Yugoslav Republic of Macedonia,Richest 20%,Percent,98.0
The former Yugoslav Republic of Macedonia,Ratio of richest to poorest,Ratio,1.0
Timor-Leste,Total,Percent,29.0
Timor-Leste,Rural,Percent,20.0
Timor-Leste,Urban,Percent,59.0
Timor-Leste,Ratio of urban to rural,Ratio,2.9
Timor-Leste,Poorest 20%,Percent,10.0
Timor-Leste,Richest 20%,Percent,69.0
Timor-Leste,Ratio of richest to poorest,Ratio,6.9
Togo,Total,Percent,59.0
Togo,Rural,Percent,43.0
Togo,Urban,Percent,91.0
Togo,Ratio of urban to rural,Ratio,2.1
Togo,Poorest 20%,Percent,28.0
Togo,Richest 20%,Percent,94.0
Togo,Ratio of richest to poorest,Ratio,3.4
Tonga,Total,Percent,98.0
Trinidad and Tobago,Total,Percent,98.0
Trinidad and Tobago,Poorest 20%,Percent,98.0
Trinidad and Tobago,Richest 20%,Percent,100.0
Trinidad and Tobago,Ratio of richest to poorest,Ratio,1.0
Tunisia,Total,Percent,95.0
Tunisia,Rural,Percent,89.0
Tunisia,Urban,Percent,98.0
Tunisia,Ratio of urban to rural,Ratio,1.1
Turkey,Total,Percent,91.0
Turkey,Rural,Percent,80.0
Turkey,Urban,Percent,96.0
Turkey,Ratio of urban to rural,Ratio,1.2
Turkey,Poorest 20%,Percent,73.0
Turkey,Richest 20%,Percent,100.0
Turkey,Ratio of richest to poorest,Ratio,1.4
Turkmenistan,Total,Percent,100.0
Turkmenistan,Rural,Percent,99.0
Turkmenistan,Urban,Percent,100.0
Turkmenistan,Ratio of urban to rural,Ratio,1.0
Turkmenistan,Poorest 20%,Percent,99.0
Turkmenistan,Richest 20%,Percent,100.0
Turkmenistan,Ratio of richest to poorest,Ratio,1.0
Tuvalu,Total,Percent,98.0
Tuvalu,Poorest 20%,Percent,99.0
Tuvalu,Richest 20%,Percent,98.0
Tuvalu,Ratio of richest to poorest,Ratio,1.0
Uganda,Total,Percent,57.0
Uganda,Rural,Percent,52.0
Uganda,Urban,Percent,89.0
Uganda,Ratio of urban to rural,Ratio,1.7
Uganda,Poorest 20%,Percent,43.0
Uganda,Richest 20%,Percent,88.0
Uganda,Ratio of richest to poorest,Ratio,2.0
Ukraine,Total,Percent,99.0
Ukraine,Rural,Percent,98.0
Ukraine,Urban,Percent,99.0
Ukraine,Ratio of urban to rural,Ratio,1.0
Ukraine,Poorest 20%,Percent,97.0
Ukraine,Richest 20%,Percent,99.0
Ukraine,Ratio of richest to poorest,Ratio,1.0
United Arab Emirates,Total,Percent,100.0
United Republic of Tanzania,Total,Percent,49.0
United Republic of Tanzania,Rural,Percent,40.0
United Republic of Tanzania,Urban,Percent,83.0
United Republic of Tanzania,Ratio of urban to rural,Ratio,2.0
United Republic of Tanzania,Poorest 20%,Percent,31.0
United Republic of Tanzania,Richest 20%,Percent,90.0
United Republic of Tanzania,Ratio of richest to poorest,Ratio,2.9
Uruguay,Total,Percent,100.0
Uzbekistan,Total,Percent,100.0
Uzbekistan,Rural,Percent,100.0
Uzbekistan,Urban,Percent,100.0
Uzbekistan,Ratio of urban to rural,Ratio,1.0
Uzbekistan,Poorest 20%,Percent,100.0
Uzbekistan,Richest 20%,Percent,100.0
Uzbekistan,Ratio of richest to poorest,Ratio,1.0
Vanuatu,Total,Percent,74.0
Vanuatu,Rural,Percent,72.0
Vanuatu,Urban,Percent,87.0
Vanuatu,Ratio of urban to rural,Ratio,1.2
Vanuatu,Poorest 20%,Percent,55.0
Vanuatu,Richest 20%,Percent,90.0
Vanuatu,Ratio of richest to poorest,Ratio,1.6
Venezuela (Bolivarian Republic of),Total,Percent,95.0
Venezuela (Bolivarian Republic of),Poorest 20%,Percent,95.0
Venezuela (Bolivarian Republic of),Richest 20%,Percent,92.0
Venezuela (Bolivarian Republic of),Ratio of richest to poorest,Ratio,1.0
Viet Nam,Total,Percent,93.0
Viet Nam,Rural,Percent,91.0
Viet Nam,Urban,Percent,99.0
Viet Nam,Ratio of urban to rural,Ratio,1.1
Viet Nam,Poorest 20%,Percent,72.0
Viet Nam,Richest 20%,Percent,99.0
Viet Nam,Ratio of richest to poorest,Ratio,1.4
Western and Central Africa,Total,Percent,55.0
Western and Central Africa,Rural,Percent,46.0
Western and Central Africa,Urban,Percent,78.0
Western and Central Africa,Ratio of urban to rural,Ratio,1.7
Western and Central Africa,Poorest 20%,Percent,28.0
Western and Central Africa,Richest 20%,Percent,88.0
Western and Central Africa,Ratio of richest to poorest,Ratio,3.1
World,Total,Percent,66.0
World,Rural,Percent,53.0
World,Urban,Percent,84.0
World,Ratio of urban to rural,Ratio,1.6
World,Poorest 20%,Percent,31.0
World,Richest 20%,Percent,85.0
World,Ratio of richest to poorest,Ratio,2.7
Yemen,Total,Percent,36.0
Yemen,Rural,Percent,26.0
Yemen,Urban,Percent,62.0
Yemen,Ratio of urban to rural,Ratio,2.3
Yemen,Poorest 20%,Percent,17.0
Yemen,Richest 20%,Percent,74.0
Yemen,Ratio of richest to poorest,Ratio,4.3
Zambia,Total,Percent,47.0
Zambia,Rural,Percent,31.0
Zambia,Urban,Percent,83.0
Zambia,Ratio of urban to rural,Ratio,2.7
Zambia,Poorest 20%,Percent,27.0
Zambia,Richest 20%,Percent,91.0
Zambia,Ratio of richest to poorest,Ratio,3.4
Zimbabwe,Total,Percent,66.0
Zimbabwe,Rural,Percent,58.0
Zimbabwe,Urban,Percent,86.0
Zimbabwe,Ratio of urban to rural,Ratio,1.5
Zimbabwe,Poorest 20%,Percent,48.0
Zimbabwe,Richest 20%,Percent,91.0
Zimbabwe,Ratio of richest to poorest,Ratio,1.9
