Country or Area,Subgroup,Unit,Proportion of population with access to improved sanitation
Uzbekistan,Urban,Percent,100.0
Uzbekistan,Total,Percent,100.0
Uzbekistan,Ratio of urban to rural,Ratio,1.0
Vanuatu,Rural,Percent,54.0
Vanuatu,Urban,Percent,64.0
Vanuatu,Total,Percent,57.0
Vanuatu,Ratio of urban to rural,Ratio,1.2
Viet Nam,Rural,Percent,68.0
Viet Nam,Urban,Percent,94.0
Viet Nam,Total,Percent,76.0
Viet Nam,Ratio of urban to rural,Ratio,1.4
Western and Central Africa,Rural,Percent,20.0
Western and Central Africa,Urban,Percent,35.0
Western and Central Africa,Total,Percent,26.0
Western and Central Africa,Ratio of urban to rural,Ratio,1.8
World,Rural,Percent,47.0
World,Urban,Percent,79.0
World,Total,Percent,63.0
World,Ratio of urban to rural,Ratio,1.7
Yemen,Rural,Percent,34.0
Yemen,Urban,Percent,93.0
Yemen,Total,Percent,53.0
Yemen,Ratio of urban to rural,Ratio,2.7
Zambia,Rural,Percent,43.0
Zambia,Urban,Percent,57.0
Zambia,Total,Percent,48.0
Zambia,Ratio of urban to rural,Ratio,1.3
Zimbabwe,Rural,Percent,32.0
Zimbabwe,Urban,Percent,52.0
Zimbabwe,Total,Percent,40.0
Zimbabwe,Ratio of urban to rural,Ratio,1.6
