Country or Area,Subgroup,Unit,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding
World,Ratio of urban to rural,Ratio,1.2
World,Poorest 20%,Percent,29.0
World,Richest 20%,Percent,44.0
World,Ratio of richest to poorest,Ratio,1.5
Yemen,Total <5 yr,Percent,33.0
Yemen,Rural,Percent,34.0
Yemen,Urban,Percent,30.0
Yemen,Ratio of urban to rural,Ratio,0.9
Yemen,Poorest 20%,Percent,31.0
Yemen,Richest 20%,Percent,37.0
Yemen,Ratio of richest to poorest,Ratio,1.2
Zambia,Total <5 yr,Percent,60.0
Zambia,Rural,Percent,60.0
Zambia,Urban,Percent,59.0
Zambia,Ratio of urban to rural,Ratio,1.0
Zambia,Poorest 20%,Percent,61.0
Zambia,Richest 20%,Percent,61.0
Zambia,Ratio of richest to poorest,Ratio,1.0
Zimbabwe,Total <5 yr,Percent,21.0
Zimbabwe,Rural,Percent,18.0
Zimbabwe,Urban,Percent,26.0
Zimbabwe,Ratio of urban to rural,Ratio,1.4
Zimbabwe,Poorest 20%,Percent,18.0
Zimbabwe,Richest 20%,Percent,28.0
Zimbabwe,Ratio of richest to poorest,Ratio,1.6
