Country or Area,Subgroup,Unit,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV
Malawi,Male 15-24 yr Richest 20%,Percent,54.0
Malaysia,Female 15-24 yr Ratio of richest to poorest,Ratio,2.0
Malaysia,Female 15-24 yr Poorest 20%,Percent,23.0
Malaysia,Female 15-24 yr Richest 20%,Percent,48.0
Maldives,Female 15-24 yr,Percent,35.0
Maldives,Female 15-19 yr,Percent,22.0
Maldives,Rural Female 15-24 yr,Percent,32.0
Maldives,Urban Female 15-24 yr,Percent,43.0
Maldives,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Maldives,Female 15-24 yr Ratio of richest to poorest,Ratio,2.0
Maldives,Female 15-24 yr Poorest 20%,Percent,9.0
Maldives,Female 15-24 yr Richest 20%,Percent,19.0
Mali,Female 15-24 yr,Percent,15.0
Mali,Female 15-19 yr,Percent,14.0
Mali,Rural Female 15-24 yr,Percent,12.0
Mali,Urban Female 15-24 yr,Percent,19.0
Mali,Female 15-24 yr Ratio of urban to rural,Ratio,1.5
Marshall Islands,Female 15-24 yr,Percent,27.0
Marshall Islands,Male 15-24 yr,Percent,39.0
Marshall Islands,Female 15-19 yr,Percent,27.0
Marshall Islands,Male 15-19 yr,Percent,35.0
Marshall Islands,Rural Female 15-24 yr,Percent,12.0
Marshall Islands,Urban Female 15-24 yr,Percent,33.0
Marshall Islands,Female 15-24 yr Ratio of urban to rural,Ratio,2.7
Marshall Islands,Female 15-24 yr Ratio of richest to poorest,Ratio,3.3
Marshall Islands,Male 15-24 yr Ratio of richest to poorest,Ratio,1.6
Marshall Islands,Female 15-24 yr Poorest 20%,Percent,12.0
Marshall Islands,Female 15-24 yr Richest 20%,Percent,39.0
Marshall Islands,Male 15-24 yr Poorest 20%,Percent,37.0
Marshall Islands,Male 15-24 yr Richest 20%,Percent,58.0
Mauritania,Female 15-24 yr,Percent,5.0
Mauritania,Male 15-24 yr,Percent,14.0
Mauritania,Female 15-19 yr,Percent,4.0
Mauritania,Male 15-19 yr,Percent,10.0
Mauritania,Rural Female 15-24 yr,Percent,2.0
Mauritania,Urban Female 15-24 yr,Percent,8.0
Mauritania,Female 15-24 yr Ratio of urban to rural,Ratio,4.7
Mauritania,Female 15-24 yr Ratio of richest to poorest,Ratio,29.5
Mauritania,Male 15-24 yr Ratio of richest to poorest,Ratio,6.2
Mauritania,Female 15-24 yr Poorest 20%,Percent,0.0
Mauritania,Female 15-24 yr Richest 20%,Percent,12.0
Mauritania,Male 15-24 yr Poorest 20%,Percent,4.0
Mauritania,Male 15-24 yr Richest 20%,Percent,27.0
Mongolia,Female 15-24 yr,Percent,32.0
Mongolia,Male 15-24 yr,Percent,29.0
Mongolia,Female 15-19 yr,Percent,28.0
Mongolia,Male 15-19 yr,Percent,24.0
Mongolia,Rural Female 15-24 yr,Percent,21.0
Mongolia,Urban Female 15-24 yr,Percent,36.0
Mongolia,Female 15-24 yr Ratio of urban to rural,Ratio,1.7
Mongolia,Female 15-24 yr Ratio of richest to poorest,Ratio,2.5
Mongolia,Male 15-24 yr Ratio of richest to poorest,Ratio,4.1
Mongolia,Female 15-24 yr Poorest 20%,Percent,17.0
Mongolia,Female 15-24 yr Richest 20%,Percent,42.0
Mongolia,Male 15-24 yr Poorest 20%,Percent,12.0
Mongolia,Male 15-24 yr Richest 20%,Percent,48.0
Mozambique,Female 15-24 yr,Percent,36.0
Mozambique,Male 15-24 yr,Percent,34.0
Mozambique,Female 15-19 yr,Percent,37.0
Mozambique,Male 15-19 yr,Percent,31.0
Mozambique,Rural Female 15-24 yr,Percent,32.0
Mozambique,Urban Female 15-24 yr,Percent,43.0
Mozambique,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Mozambique,Female 15-24 yr Ratio of richest to poorest,Ratio,1.1
Mozambique,Male 15-24 yr Ratio of richest to poorest,Ratio,2.7
Mozambique,Female 15-24 yr Poorest 20%,Percent,41.0
Mozambique,Female 15-24 yr Richest 20%,Percent,43.0
Mozambique,Male 15-24 yr Poorest 20%,Percent,16.0
Mozambique,Male 15-24 yr Richest 20%,Percent,45.0
Myanmar,Female 15-24 yr,Percent,32.0
Myanmar,Female 15-19 yr,Percent,31.0
Namibia,Female 15-24 yr,Percent,65.0
Namibia,Male 15-24 yr,Percent,62.0
Namibia,Female 15-19 yr,Percent,62.0
Namibia,Male 15-19 yr,Percent,59.0
Namibia,Rural Female 15-24 yr,Percent,65.0
Namibia,Urban Female 15-24 yr,Percent,65.0
Namibia,Female 15-24 yr Ratio of urban to rural,Ratio,1.0
Namibia,Female 15-24 yr Ratio of richest to poorest,Ratio,1.1
Namibia,Male 15-24 yr Ratio of richest to poorest,Ratio,1.2
Namibia,Female 15-24 yr Poorest 20%,Percent,61.0
Namibia,Female 15-24 yr Richest 20%,Percent,69.0
Namibia,Male 15-24 yr Poorest 20%,Percent,55.0
Namibia,Male 15-24 yr Richest 20%,Percent,67.0
Nauru,Female 15-24 yr,Percent,13.0
Nauru,Male 15-24 yr,Percent,10.0
Nauru,Female 15-19 yr,Percent,8.0
Nauru,Male 15-19 yr,Percent,8.0
Nauru,Female 15-24 yr Ratio of richest to poorest,Ratio,0.8
Nauru,Female 15-24 yr Poorest 20%,Percent,13.0
Nauru,Female 15-24 yr Richest 20%,Percent,10.0
Nauru,Male 15-24 yr Richest 20%,Percent,25.0
Nepal,Female 15-24 yr,Percent,26.0
Nepal,Male 15-24 yr,Percent,34.0
Nepal,Female 15-19 yr,Percent,25.0
Nepal,Male 15-19 yr,Percent,33.0
Nepal,Rural Female 15-24 yr,Percent,24.0
Nepal,Urban Female 15-24 yr,Percent,40.0
Nepal,Female 15-24 yr Ratio of urban to rural,Ratio,1.7
Nepal,Female 15-24 yr Ratio of richest to poorest,Ratio,4.3
Nepal,Male 15-24 yr Ratio of richest to poorest,Ratio,2.0
Nepal,Female 15-24 yr Poorest 20%,Percent,12.0
Nepal,Female 15-24 yr Richest 20%,Percent,49.0
Nepal,Male 15-24 yr Poorest 20%,Percent,30.0
Nepal,Male 15-24 yr Richest 20%,Percent,59.0
Niger,Female 15-24 yr,Percent,13.0
Niger,Male 15-24 yr,Percent,16.0
Niger,Female 15-19 yr,Percent,12.0
Niger,Male 15-19 yr,Percent,14.0
Niger,Rural Female 15-24 yr,Percent,8.0
Niger,Urban Female 15-24 yr,Percent,31.0
Niger,Female 15-24 yr Ratio of urban to rural,Ratio,3.8
Niger,Female 15-24 yr Ratio of richest to poorest,Ratio,6.5
Niger,Male 15-24 yr Ratio of richest to poorest,Ratio,5.8
Niger,Female 15-24 yr Poorest 20%,Percent,5.0
Niger,Female 15-24 yr Richest 20%,Percent,30.0
Niger,Male 15-24 yr Poorest 20%,Percent,6.0
Niger,Male 15-24 yr Richest 20%,Percent,34.0
Nigeria,Female 15-24 yr,Percent,22.0
Nigeria,Male 15-24 yr,Percent,33.0
Nigeria,Female 15-19 yr,Percent,20.0
Nigeria,Male 15-19 yr,Percent,28.0
Nigeria,Rural Female 15-24 yr,Percent,18.0
Nigeria,Urban Female 15-24 yr,Percent,30.0
Nigeria,Female 15-24 yr Ratio of urban to rural,Ratio,1.7
Nigeria,Female 15-24 yr Ratio of richest to poorest,Ratio,3.6
Nigeria,Male 15-24 yr Ratio of richest to poorest,Ratio,2.2
Nigeria,Female 15-24 yr Poorest 20%,Percent,9.0
Nigeria,Female 15-24 yr Richest 20%,Percent,34.0
Nigeria,Male 15-24 yr Poorest 20%,Percent,18.0
Nigeria,Male 15-24 yr Richest 20%,Percent,41.0
Pakistan,Female 15-24 yr,Percent,3.0
Pakistan,Female 15-19 yr,Percent,2.0
Peru,Female 15-24 yr,Percent,19.0
Peru,Female 15-19 yr,Percent,17.0
Philippines,Female 15-24 yr,Percent,21.0
Philippines,Female 15-19 yr,Percent,19.0
Philippines,Rural Female 15-24 yr,Percent,17.0
Philippines,Urban Female 15-24 yr,Percent,23.0
Philippines,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Philippines,Female 15-24 yr Ratio of richest to poorest,Ratio,1.8
Philippines,Female 15-24 yr Poorest 20%,Percent,14.0
Philippines,Female 15-24 yr Richest 20%,Percent,26.0
Republic of Moldova,Female 15-24 yr,Percent,42.0
Republic of Moldova,Male 15-24 yr,Percent,39.0
Rwanda,Female 15-24 yr,Percent,53.0
Rwanda,Male 15-24 yr,Percent,47.0
Rwanda,Female 15-19 yr,Percent,49.0
Rwanda,Male 15-19 yr,Percent,44.0
Rwanda,Rural Female 15-24 yr,Percent,50.0
Rwanda,Urban Female 15-24 yr,Percent,66.0
Rwanda,Female 15-24 yr Ratio of urban to rural,Ratio,1.3
Saint Kitts and Nevis,Female 15-24 yr,Percent,53.0
Saint Kitts and Nevis,Male 15-24 yr,Percent,50.0
Samoa,Female 15-24 yr,Percent,3.0
Samoa,Male 15-24 yr,Percent,6.0
Samoa,Female 15-19 yr,Percent,2.0
Samoa,Male 15-19 yr,Percent,5.0
Samoa,Rural Female 15-24 yr,Percent,2.0
Samoa,Urban Female 15-24 yr,Percent,5.0
Samoa,Female 15-24 yr Ratio of urban to rural,Ratio,2.4
Samoa,Female 15-24 yr Ratio of richest to poorest,Ratio,1.0
Samoa,Male 15-24 yr Ratio of richest to poorest,Ratio,2.7
Samoa,Female 15-24 yr Poorest 20%,Percent,3.0
Samoa,Female 15-24 yr Richest 20%,Percent,3.0
Samoa,Male 15-24 yr Poorest 20%,Percent,3.0
Samoa,Male 15-24 yr Richest 20%,Percent,9.0
Sao Tome and Principe,Female 15-24 yr,Percent,43.0
Sao Tome and Principe,Male 15-24 yr,Percent,43.0
Sao Tome and Principe,Female 15-19 yr,Percent,39.0
Sao Tome and Principe,Male 15-19 yr,Percent,39.0
Sao Tome and Principe,Rural Female 15-24 yr,Percent,38.0
Sao Tome and Principe,Urban Female 15-24 yr,Percent,47.0
Sao Tome and Principe,Female 15-24 yr Ratio of urban to rural,Ratio,1.3
Sao Tome and Principe,Female 15-24 yr Ratio of richest to poorest,Ratio,2.0
Sao Tome and Principe,Male 15-24 yr Ratio of richest to poorest,Ratio,1.4
Sao Tome and Principe,Female 15-24 yr Poorest 20%,Percent,27.0
Sao Tome and Principe,Female 15-24 yr Richest 20%,Percent,56.0
Sao Tome and Principe,Male 15-24 yr Poorest 20%,Percent,39.0
Sao Tome and Principe,Male 15-24 yr Richest 20%,Percent,55.0
Senegal,Female 15-24 yr,Percent,29.0
Senegal,Male 15-24 yr,Percent,31.0
Senegal,Female 15-19 yr,Percent,26.0
Senegal,Male 15-19 yr,Percent,28.0
Senegal,Rural Female 15-24 yr,Percent,18.0
Senegal,Urban Female 15-24 yr,Percent,41.0
Senegal,Female 15-24 yr Ratio of urban to rural,Ratio,2.2
Serbia,Female 15-24 yr,Percent,54.0
Serbia,Male 15-24 yr,Percent,48.0
Serbia,Female 15-19 yr,Percent,53.0
Serbia,Male 15-19 yr,Percent,43.0
Serbia,Rural Female 15-24 yr,Percent,41.0
Serbia,Urban Female 15-24 yr,Percent,63.0
Serbia,Female 15-24 yr Ratio of urban to rural,Ratio,1.5
Serbia,Female 15-24 yr Ratio of richest to poorest,Ratio,2.4
Serbia,Male 15-24 yr Ratio of richest to poorest,Ratio,2.4
Serbia,Female 15-24 yr Poorest 20%,Percent,28.0
Serbia,Female 15-24 yr Richest 20%,Percent,69.0
Serbia,Male 15-24 yr Poorest 20%,Percent,28.0
Serbia,Male 15-24 yr Richest 20%,Percent,66.0
Sierra Leone,Female 15-24 yr,Percent,23.0
Sierra Leone,Female 15-19 yr,Percent,16.0
Sierra Leone,Male 15-19 yr,Percent,26.0
Sierra Leone,Rural Female 15-24 yr,Percent,19.0
Sierra Leone,Urban Female 15-24 yr,Percent,30.0
Sierra Leone,Female 15-24 yr Ratio of urban to rural,Ratio,1.6
Sierra Leone,Female 15-24 yr Ratio of richest to poorest,Ratio,2.6
Sierra Leone,Female 15-24 yr Poorest 20%,Percent,14.0
Sierra Leone,Female 15-24 yr Richest 20%,Percent,36.0
Solomon Islands,Female 15-24 yr,Percent,29.0
Solomon Islands,Male 15-24 yr,Percent,35.0
Solomon Islands,Female 15-19 yr,Percent,29.0
Solomon Islands,Male 15-19 yr,Percent,26.0
Solomon Islands,Rural Female 15-24 yr,Percent,28.0
Solomon Islands,Urban Female 15-24 yr,Percent,34.0
Solomon Islands,Female 15-24 yr Ratio of urban to rural,Ratio,1.2
Solomon Islands,Female 15-24 yr Ratio of richest to poorest,Ratio,2.1
Solomon Islands,Male 15-24 yr Ratio of richest to poorest,Ratio,1.5
Solomon Islands,Female 15-24 yr Poorest 20%,Percent,17.0
Solomon Islands,Female 15-24 yr Richest 20%,Percent,37.0
Solomon Islands,Male 15-24 yr Poorest 20%,Percent,35.0
Solomon Islands,Male 15-24 yr Richest 20%,Percent,50.0
Somalia,Female 15-24 yr,Percent,4.0
Somalia,Female 15-19 yr,Percent,3.0
Somalia,Rural Female 15-24 yr,Percent,2.0
Somalia,Urban Female 15-24 yr,Percent,7.0
Somalia,Female 15-24 yr Ratio of urban to rural,Ratio,4.1
Somalia,Female 15-24 yr Ratio of richest to poorest,Ratio,13.5
Somalia,Female 15-24 yr Poorest 20%,Percent,1.0
Somalia,Female 15-24 yr Richest 20%,Percent,8.0
South Asia,Female 15-24 yr,Percent,17.0
South Asia,Male 15-24 yr,Percent,34.0
South Asia,Female 15-19 yr,Percent,15.0
South Asia,Male 15-19 yr,Percent,34.0
South Asia,Rural Female 15-24 yr,Percent,14.0
South Asia,Urban Female 15-24 yr,Percent,33.0
South Asia,Female 15-24 yr Ratio of urban to rural,Ratio,2.3
South Asia,Female 15-24 yr Ratio of richest to poorest,Ratio,11.7
South Asia,Male 15-24 yr Ratio of richest to poorest,Ratio,3.8
South Asia,Female 15-24 yr Poorest 20%,Percent,4.0
South Asia,Female 15-24 yr Richest 20%,Percent,44.0
South Asia,Male 15-24 yr Poorest 20%,Percent,15.0
South Asia,Male 15-24 yr Richest 20%,Percent,55.0
South Sudan,Female 15-24 yr,Percent,10.0
South Sudan,Female 15-19 yr,Percent,8.0
South Sudan,Rural Female 15-24 yr,Percent,7.0
South Sudan,Urban Female 15-24 yr,Percent,16.0
South Sudan,Female 15-24 yr Ratio of urban to rural,Ratio,2.3
South Sudan,Female 15-24 yr Ratio of richest to poorest,Ratio,6.1
South Sudan,Female 15-24 yr Poorest 20%,Percent,3.0
South Sudan,Female 15-24 yr Richest 20%,Percent,18.0
Sub-Saharan Africa,Female 15-24 yr,Percent,28.0
Sub-Saharan Africa,Male 15-24 yr,Percent,36.0
Sub-Saharan Africa,Female 15-19 yr,Percent,26.0
Sub-Saharan Africa,Male 15-19 yr,Percent,34.0
Sub-Saharan Africa,Rural Female 15-24 yr,Percent,25.0
Sub-Saharan Africa,Urban Female 15-24 yr,Percent,34.0
Sub-Saharan Africa,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Sub-Saharan Africa,Female 15-24 yr Ratio of richest to poorest,Ratio,2.2
Sub-Saharan Africa,Male 15-24 yr Ratio of richest to poorest,Ratio,2.0
Sub-Saharan Africa,Female 15-24 yr Poorest 20%,Percent,16.0
Sub-Saharan Africa,Female 15-24 yr Richest 20%,Percent,36.0
Sub-Saharan Africa,Male 15-24 yr Poorest 20%,Percent,22.0
Sub-Saharan Africa,Male 15-24 yr Richest 20%,Percent,45.0
Sudan,Female 15-24 yr,Percent,5.0
Sudan,Male 15-24 yr,Percent,11.0
Sudan,Female 15-19 yr,Percent,4.0
Sudan,Rural Female 15-24 yr,Percent,3.0
Sudan,Urban Female 15-24 yr,Percent,10.0
Sudan,Female 15-24 yr Ratio of urban to rural,Ratio,3.4
Sudan,Female 15-24 yr Ratio of richest to poorest,Ratio,13.6
Sudan,Female 15-24 yr Poorest 20%,Percent,1.0
Sudan,Female 15-24 yr Richest 20%,Percent,11.0
Suriname,Female 15-24 yr,Percent,41.0
Suriname,Female 15-19 yr,Percent,41.0
Suriname,Rural Female 15-24 yr,Percent,32.0
Suriname,Urban Female 15-24 yr,Percent,45.0
Suriname,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Suriname,Female 15-24 yr Ratio of richest to poorest,Ratio,2.4
Suriname,Female 15-24 yr Poorest 20%,Percent,23.0
Suriname,Female 15-24 yr Richest 20%,Percent,54.0
Swaziland,Female 15-24 yr,Percent,58.0
Swaziland,Male 15-24 yr,Percent,54.0
Swaziland,Female 15-19 yr,Percent,56.0
Swaziland,Male 15-19 yr,Percent,52.0
Swaziland,Rural Female 15-24 yr,Percent,55.0
Swaziland,Urban Female 15-24 yr,Percent,70.0
Swaziland,Female 15-24 yr Ratio of urban to rural,Ratio,1.3
Swaziland,Female 15-24 yr Ratio of richest to poorest,Ratio,1.5
Swaziland,Male 15-24 yr Ratio of richest to poorest,Ratio,1.5
Swaziland,Female 15-24 yr Poorest 20%,Percent,49.0
Swaziland,Female 15-24 yr Richest 20%,Percent,72.0
Swaziland,Male 15-24 yr Poorest 20%,Percent,44.0
Swaziland,Male 15-24 yr Richest 20%,Percent,64.0
Syrian Arab Republic,Female 15-24 yr,Percent,7.0
Syrian Arab Republic,Female 15-19 yr,Percent,6.0
Syrian Arab Republic,Rural Female 15-24 yr,Percent,7.0
Syrian Arab Republic,Urban Female 15-24 yr,Percent,7.0
Syrian Arab Republic,Female 15-24 yr Ratio of urban to rural,Ratio,1.0
Syrian Arab Republic,Female 15-24 yr Ratio of richest to poorest,Ratio,2.9
Syrian Arab Republic,Female 15-24 yr Poorest 20%,Percent,4.0
Syrian Arab Republic,Female 15-24 yr Richest 20%,Percent,10.0
Tajikistan,Female 15-24 yr,Percent,14.0
Tajikistan,Male 15-24 yr,Percent,13.0
Tajikistan,Female 15-19 yr,Percent,11.0
Tajikistan,Male 15-19 yr,Percent,9.0
Thailand,Female 15-24 yr,Percent,46.0
Thailand,Female 15-19 yr,Percent,46.0
Thailand,Rural Female 15-24 yr,Percent,47.0
Thailand,Urban Female 15-24 yr,Percent,43.0
Thailand,Female 15-24 yr Ratio of urban to rural,Ratio,0.9
Thailand,Female 15-24 yr Ratio of richest to poorest,Ratio,0.9
Thailand,Female 15-24 yr Poorest 20%,Percent,47.0
Thailand,Female 15-24 yr Richest 20%,Percent,43.0
The former Yugoslav Republic of Macedonia,Female 15-24 yr,Percent,27.0
The former Yugoslav Republic of Macedonia,Female 15-19 yr,Percent,23.0
The former Yugoslav Republic of Macedonia,Rural Female 15-24 yr,Percent,18.0
The former Yugoslav Republic of Macedonia,Urban Female 15-24 yr,Percent,33.0
The former Yugoslav Republic of Macedonia,Female 15-24 yr Ratio of urban to rural,Ratio,1.8
The former Yugoslav Republic of Macedonia,Female 15-24 yr Ratio of richest to poorest,Ratio,5.0
The former Yugoslav Republic of Macedonia,Female 15-24 yr Poorest 20%,Percent,9.0
The former Yugoslav Republic of Macedonia,Female 15-24 yr Richest 20%,Percent,45.0
Timor-Leste,Female 15-24 yr,Percent,12.0
Timor-Leste,Male 15-24 yr,Percent,20.0
Timor-Leste,Female 15-19 yr,Percent,11.0
Timor-Leste,Male 15-19 yr,Percent,15.0
Timor-Leste,Rural Female 15-24 yr,Percent,12.0
Timor-Leste,Urban Female 15-24 yr,Percent,14.0
Timor-Leste,Female 15-24 yr Ratio of urban to rural,Ratio,1.2
Timor-Leste,Female 15-24 yr Ratio of richest to poorest,Ratio,1.8
Timor-Leste,Male 15-24 yr Ratio of richest to poorest,Ratio,3.0
Timor-Leste,Female 15-24 yr Poorest 20%,Percent,9.0
Timor-Leste,Female 15-24 yr Richest 20%,Percent,16.0
Timor-Leste,Male 15-24 yr Poorest 20%,Percent,11.0
Timor-Leste,Male 15-24 yr Richest 20%,Percent,35.0
Togo,Female 15-24 yr,Percent,33.0
Togo,Male 15-24 yr,Percent,42.0
Togo,Female 15-19 yr,Percent,33.0
Togo,Rural Female 15-24 yr,Percent,27.0
Togo,Urban Female 15-24 yr,Percent,39.0
Togo,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Togo,Female 15-24 yr Ratio of richest to poorest,Ratio,2.3
Togo,Male 15-24 yr Ratio of richest to poorest,Ratio,2.7
Togo,Female 15-24 yr Poorest 20%,Percent,18.0
Togo,Female 15-24 yr Richest 20%,Percent,42.0
Togo,Male 15-24 yr Poorest 20%,Percent,20.0
Togo,Male 15-24 yr Richest 20%,Percent,55.0
Trinidad and Tobago,Female 15-24 yr,Percent,54.0
Trinidad and Tobago,Female 15-19 yr,Percent,49.0
Trinidad and Tobago,Female 15-24 yr Ratio of richest to poorest,Ratio,1.3
Trinidad and Tobago,Female 15-24 yr Poorest 20%,Percent,48.0
Trinidad and Tobago,Female 15-24 yr Richest 20%,Percent,62.0
Turkmenistan,Female 15-24 yr,Percent,5.0
Turkmenistan,Female 15-19 yr,Percent,4.0
Turkmenistan,Rural Female 15-24 yr,Percent,4.0
Turkmenistan,Urban Female 15-24 yr,Percent,7.0
Turkmenistan,Female 15-24 yr Ratio of urban to rural,Ratio,2.0
Turkmenistan,Female 15-24 yr Ratio of richest to poorest,Ratio,2.8
Turkmenistan,Female 15-24 yr Poorest 20%,Percent,3.0
Turkmenistan,Female 15-24 yr Richest 20%,Percent,8.0
Tuvalu,Female 15-24 yr,Percent,39.0
Tuvalu,Male 15-24 yr,Percent,61.0
Tuvalu,Female 15-19 yr,Percent,31.0
Tuvalu,Male 15-19 yr,Percent,57.0
Tuvalu,Rural Female 15-24 yr,Percent,41.0
Tuvalu,Urban Female 15-24 yr,Percent,38.0
Tuvalu,Female 15-24 yr Ratio of urban to rural,Ratio,0.9
Tuvalu,Female 15-24 yr Ratio of richest to poorest,Ratio,1.2
Tuvalu,Female 15-24 yr Poorest 20%,Percent,34.0
Tuvalu,Female 15-24 yr Richest 20%,Percent,39.0
Tuvalu,Male 15-24 yr Richest 20%,Percent,67.0
Uganda,Female 15-24 yr,Percent,39.0
Uganda,Male 15-24 yr,Percent,39.0
Uganda,Female 15-19 yr,Percent,36.0
Uganda,Male 15-19 yr,Percent,36.0
Uganda,Rural Female 15-24 yr,Percent,35.0
Uganda,Urban Female 15-24 yr,Percent,48.0
Uganda,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Uganda,Female 15-24 yr Ratio of richest to poorest,Ratio,2.3
Uganda,Male 15-24 yr Ratio of richest to poorest,Ratio,1.6
Uganda,Female 15-24 yr Poorest 20%,Percent,20.0
Uganda,Female 15-24 yr Richest 20%,Percent,47.0
Uganda,Male 15-24 yr Poorest 20%,Percent,28.0
Uganda,Male 15-24 yr Richest 20%,Percent,47.0
Ukraine,Female 15-24 yr,Percent,45.0
Ukraine,Male 15-24 yr,Percent,43.0
Ukraine,Female 15-19 yr,Percent,39.0
Ukraine,Male 15-19 yr,Percent,33.0
Ukraine,Rural Female 15-24 yr,Percent,37.0
Ukraine,Urban Female 15-24 yr,Percent,48.0
Ukraine,Female 15-24 yr Ratio of urban to rural,Ratio,1.3
Ukraine,Female 15-24 yr Ratio of richest to poorest,Ratio,1.4
Ukraine,Male 15-24 yr Ratio of richest to poorest,Ratio,1.5
Ukraine,Female 15-24 yr Poorest 20%,Percent,33.0
Ukraine,Female 15-24 yr Richest 20%,Percent,45.0
Ukraine,Male 15-24 yr Poorest 20%,Percent,28.0
Ukraine,Male 15-24 yr Richest 20%,Percent,42.0
United Republic of Tanzania,Female 15-24 yr,Percent,48.0
United Republic of Tanzania,Male 15-24 yr,Percent,43.0
United Republic of Tanzania,Female 15-19 yr,Percent,46.0
United Republic of Tanzania,Male 15-19 yr,Percent,41.0
United Republic of Tanzania,Rural Female 15-24 yr,Percent,45.0
United Republic of Tanzania,Urban Female 15-24 yr,Percent,55.0
United Republic of Tanzania,Female 15-24 yr Ratio of urban to rural,Ratio,1.2
United Republic of Tanzania,Female 15-24 yr Ratio of richest to poorest,Ratio,1.4
United Republic of Tanzania,Male 15-24 yr Ratio of richest to poorest,Ratio,1.7
United Republic of Tanzania,Female 15-24 yr Poorest 20%,Percent,39.0
United Republic of Tanzania,Female 15-24 yr Richest 20%,Percent,55.0
United Republic of Tanzania,Male 15-24 yr Poorest 20%,Percent,34.0
United Republic of Tanzania,Male 15-24 yr Richest 20%,Percent,56.0
Uzbekistan,Female 15-24 yr,Percent,31.0
Uzbekistan,Female 15-19 yr,Percent,27.0
Uzbekistan,Rural Female 15-24 yr,Percent,30.0
Uzbekistan,Urban Female 15-24 yr,Percent,33.0
Uzbekistan,Female 15-24 yr Ratio of urban to rural,Ratio,1.1
Uzbekistan,Female 15-24 yr Ratio of richest to poorest,Ratio,1.3
Uzbekistan,Female 15-24 yr Poorest 20%,Percent,25.0
Uzbekistan,Female 15-24 yr Richest 20%,Percent,33.0
Vanuatu,Female 15-24 yr,Percent,15.0
Vanuatu,Female 15-19 yr,Percent,14.0
Vanuatu,Rural Female 15-24 yr,Percent,13.0
Vanuatu,Urban Female 15-24 yr,Percent,23.0
Vanuatu,Female 15-24 yr Ratio of urban to rural,Ratio,1.8
Vanuatu,Female 15-24 yr Ratio of richest to poorest,Ratio,2.7
Vanuatu,Female 15-24 yr Poorest 20%,Percent,9.0
Vanuatu,Female 15-24 yr Richest 20%,Percent,23.0
Viet Nam,Female 15-24 yr,Percent,51.0
Viet Nam,Female 15-19 yr,Percent,51.0
Viet Nam,Rural Female 15-24 yr,Percent,48.0
Viet Nam,Urban Female 15-24 yr,Percent,58.0
Viet Nam,Female 15-24 yr Ratio of urban to rural,Ratio,1.2
Viet Nam,Female 15-24 yr Ratio of richest to poorest,Ratio,1.8
Viet Nam,Female 15-24 yr Poorest 20%,Percent,38.0
Viet Nam,Female 15-24 yr Richest 20%,Percent,68.0
Western and Central Africa,Female 15-24 yr,Percent,21.0
Western and Central Africa,Male 15-24 yr,Percent,33.0
Western and Central Africa,Female 15-19 yr,Percent,19.0
Western and Central Africa,Male 15-19 yr,Percent,28.0
Western and Central Africa,Rural Female 15-24 yr,Percent,16.0
Western and Central Africa,Urban Female 15-24 yr,Percent,29.0
Western and Central Africa,Female 15-24 yr Ratio of urban to rural,Ratio,1.8
Western and Central Africa,Female 15-24 yr Ratio of richest to poorest,Ratio,3.0
Western and Central Africa,Male 15-24 yr Ratio of richest to poorest,Ratio,2.2
Western and Central Africa,Female 15-24 yr Poorest 20%,Percent,10.0
Western and Central Africa,Female 15-24 yr Richest 20%,Percent,30.0
Western and Central Africa,Male 15-24 yr Poorest 20%,Percent,17.0
Western and Central Africa,Male 15-24 yr Richest 20%,Percent,38.0
World,Female 15-24 yr,Percent,21.0
World,Female 15-19 yr,Percent,19.0
World,Rural Female 15-24 yr,Percent,18.0
Yemen,Female 15-24 yr,Percent,2.0
Yemen,Female 15-19 yr,Percent,2.0
Yemen,Rural Female 15-24 yr,Percent,1.0
Yemen,Urban Female 15-24 yr,Percent,4.0
Yemen,Female 15-24 yr Ratio of urban to rural,Ratio,6.7
Yemen,Female 15-24 yr Poorest 20%,Percent,0.0
Yemen,Female 15-24 yr Richest 20%,Percent,4.0
Zambia,Female 15-24 yr,Percent,38.0
Zambia,Male 15-24 yr,Percent,41.0
Zambia,Female 15-19 yr,Percent,36.0
Zambia,Male 15-19 yr,Percent,38.0
Zambia,Rural Female 15-24 yr,Percent,27.0
Zambia,Urban Female 15-24 yr,Percent,42.0
Zambia,Female 15-24 yr Ratio of urban to rural,Ratio,1.6
Zambia,Female 15-24 yr Ratio of richest to poorest,Ratio,2.0
Zambia,Male 15-24 yr Ratio of richest to poorest,Ratio,2.1
Zambia,Female 15-24 yr Poorest 20%,Percent,24.0
Zambia,Female 15-24 yr Richest 20%,Percent,48.0
Zambia,Male 15-24 yr Poorest 20%,Percent,24.0
Zambia,Male 15-24 yr Richest 20%,Percent,51.0
Zimbabwe,Female 15-24 yr,Percent,52.0
