Country or Area,Subgroup,Year,Source,Unit,Proportion of population with sustainable access to an improved water source,Proportion of population with sustainable access to an improved water source Footnotes
Jordan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Jordan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Jordan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Kazakhstan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Kazakhstan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Kazakhstan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Kenya,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,52.0,
Kenya,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,82.0,
Kenya,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,59.0,
Kuwait,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Kuwait,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Kuwait,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Kyrgyzstan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Kyrgyzstan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Kyrgyzstan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Lao People's Democratic Republic,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,62.0,
Lao People's Democratic Republic,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,77.0,
Lao People's Democratic Republic,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,67.0,
Latin America and Caribbean,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,81.0,1.0
Latin America and Caribbean,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,1.0
Latin America and Caribbean,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,1.0
Latvia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Latvia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Latvia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Least Developed Countries/Territories,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,56.0,1.0
Least Developed Countries/Territories,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,82.0,1.0
Least Developed Countries/Territories,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,63.0,1.0
Lebanon,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Lebanon,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Lebanon,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Lesotho,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,73.0,
Lesotho,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Lesotho,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,78.0,
Liberia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,60.0,
Liberia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Liberia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,73.0,
Lithuania,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Luxembourg,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Luxembourg,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Luxembourg,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Madagascar,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,34.0,
Madagascar,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,74.0,
Madagascar,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,46.0,
Malawi,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,80.0,
Malawi,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Malawi,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Malaysia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Malaysia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Malaysia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Maldives,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Maldives,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Maldives,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Mali,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,51.0,
Mali,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Mali,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,64.0,
Malta,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Malta,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Malta,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Marshall Islands,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Marshall Islands,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Marshall Islands,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Mauritania,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,48.0,
Mauritania,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,52.0,
Mauritania,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,50.0,
Mauritius,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Mauritius,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Mauritius,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Mexico,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Mexico,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Mexico,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Middle East and North Africa,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,76.0,1.0
Middle East and North Africa,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,1.0
Middle East and North Africa,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,86.0,1.0
Monaco,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Monaco,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Mongolia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,53.0,
Mongolia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Mongolia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,82.0,
Montenegro,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Montenegro,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Montenegro,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Morocco,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,61.0,
Morocco,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Morocco,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Mozambique,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,29.0,
Mozambique,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,77.0,
Mozambique,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,47.0,
Myanmar,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,78.0,
Myanmar,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Myanmar,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Namibia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Namibia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Namibia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Nauru,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Nauru,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Nepal,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Nepal,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Nepal,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Netherlands,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Netherlands,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Netherlands,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
New Zealand,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
New Zealand,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
New Zealand,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Nicaragua,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,68.0,
Nicaragua,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Nicaragua,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Niger,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,39.0,
Niger,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Niger,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,49.0,
Nigeria,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,43.0,
Nigeria,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,74.0,
Nigeria,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,58.0,
Niue,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Niue,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Niue,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Norway,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Norway,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Norway,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Oman,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,78.0,
Oman,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Oman,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Pakistan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Pakistan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Pakistan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Palau,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Palau,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Palau,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Panama,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Papua New Guinea,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,33.0,
Papua New Guinea,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Papua New Guinea,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,40.0,
Paraguay,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,66.0,
Paraguay,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Paraguay,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,86.0,
Peru,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,65.0,
Peru,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Peru,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Philippines,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Philippines,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Philippines,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Poland,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Portugal,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Portugal,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Portugal,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Qatar,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Qatar,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Qatar,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Republic of Korea,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Republic of Korea,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Republic of Korea,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Republic of Moldova,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Republic of Moldova,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Republic of Moldova,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Romania,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Russian Federation,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Russian Federation,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Russian Federation,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Rwanda,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,63.0,
Rwanda,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,76.0,
Rwanda,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,65.0,
Saint Kitts and Nevis,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Saint Kitts and Nevis,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Saint Kitts and Nevis,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Saint Lucia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Saint Lucia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Saint Lucia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Samoa,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Samoa,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Samoa,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Sao Tome and Principe,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Sao Tome and Principe,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Sao Tome and Principe,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Saudi Arabia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Senegal,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,56.0,
Senegal,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Senegal,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,72.0,
Serbia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Serbia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Serbia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Seychelles,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Sierra Leone,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,35.0,
Sierra Leone,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Sierra Leone,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,55.0,
Singapore,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Singapore,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Slovakia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Slovakia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Slovakia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Slovenia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Slovenia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Slovenia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Somalia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,7.0,
Somalia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,66.0,
Somalia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,29.0,
South Africa,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,79.0,
South Africa,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
South Africa,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
South Asia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,1.0
South Asia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,1.0
South Asia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,1.0
Spain,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Spain,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,2.0
Spain,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Sri Lanka,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Sri Lanka,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,3.0
Sri Lanka,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
State of Palestine,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,81.0,
State of Palestine,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,86.0,
State of Palestine,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Sub-Saharan Africa,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,49.0,1.0
Sub-Saharan Africa,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,1.0
Sub-Saharan Africa,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,61.0,1.0
Sudan (pre-cession),Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,52.0,3.0
Sudan (pre-cession),Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,67.0,3.0
Sudan (pre-cession),Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,58.0,3.0
Suriname,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,81.0,
Suriname,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Suriname,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Swaziland,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,65.0,
Swaziland,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Swaziland,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,71.0,
Sweden,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Sweden,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Sweden,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Switzerland,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Switzerland,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Switzerland,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Syrian Arab Republic,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,86.0,
Syrian Arab Republic,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Syrian Arab Republic,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Tajikistan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,54.0,
Tajikistan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Tajikistan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,64.0,
Thailand,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Thailand,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Thailand,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
The former Yugoslav Republic of Macedonia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
The former Yugoslav Republic of Macedonia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
The former Yugoslav Republic of Macedonia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Timor-Leste,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,60.0,
Timor-Leste,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
