Country or Area,Subgroup,Year,Source,Unit,Crude death rate (CDR),Crude death rate (CDR) Footnotes
Nepal,Total,1970.0,UN_United Nations Population Division,Per 1000 population,21.0,
Netherlands,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Netherlands,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Netherlands,Total,1970.0,UN_United Nations Population Division,Per 1000 population,8.0,
New Zealand,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
New Zealand,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
New Zealand,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Nicaragua,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Nicaragua,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Nicaragua,Total,1970.0,UN_United Nations Population Division,Per 1000 population,14.0,
Niger,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
Niger,Total,1990.0,UN_United Nations Population Division,Per 1000 population,24.0,
Niger,Total,1970.0,UN_United Nations Population Division,Per 1000 population,26.0,
Nigeria,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Nigeria,Total,1990.0,UN_United Nations Population Division,Per 1000 population,19.0,
Nigeria,Total,1970.0,UN_United Nations Population Division,Per 1000 population,22.0,
Norway,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Norway,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Norway,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Oman,Total,2011.0,UN_United Nations Population Division,Per 1000 population,4.0,
Oman,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Oman,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Pakistan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Pakistan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Pakistan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Panama,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Panama,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Panama,Total,1970.0,UN_United Nations Population Division,Per 1000 population,8.0,
Papua New Guinea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Papua New Guinea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Papua New Guinea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Paraguay,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Paraguay,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Paraguay,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Peru,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Peru,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Peru,Total,1970.0,UN_United Nations Population Division,Per 1000 population,14.0,
Philippines,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Philippines,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Philippines,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Poland,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Poland,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Poland,Total,1970.0,UN_United Nations Population Division,Per 1000 population,8.0,
Portugal,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Portugal,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Portugal,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Qatar,Total,2011.0,UN_United Nations Population Division,Per 1000 population,2.0,
Qatar,Total,1990.0,UN_United Nations Population Division,Per 1000 population,2.0,
Qatar,Total,1970.0,UN_United Nations Population Division,Per 1000 population,6.0,
Republic of Korea,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Republic of Korea,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Republic of Korea,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Republic of Moldova,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
Republic of Moldova,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Republic of Moldova,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Romania,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Romania,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Romania,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Russian Federation,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Russian Federation,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Russian Federation,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Rwanda,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Rwanda,Total,1990.0,UN_United Nations Population Division,Per 1000 population,32.0,
Rwanda,Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,
Saint Lucia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Saint Lucia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Saint Lucia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Saint Vincent and the Grenadines,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Saint Vincent and the Grenadines,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Saint Vincent and the Grenadines,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Samoa,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Samoa,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Samoa,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Sao Tome and Principe,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Sao Tome and Principe,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Sao Tome and Principe,Total,1970.0,UN_United Nations Population Division,Per 1000 population,13.0,
Saudi Arabia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,4.0,
Saudi Arabia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Saudi Arabia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,15.0,
Senegal,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Senegal,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Senegal,Total,1970.0,UN_United Nations Population Division,Per 1000 population,24.0,
Serbia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Serbia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Serbia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Sierra Leone,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Sierra Leone,Total,1990.0,UN_United Nations Population Division,Per 1000 population,25.0,
Sierra Leone,Total,1970.0,UN_United Nations Population Division,Per 1000 population,29.0,
Singapore,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Singapore,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Singapore,Total,1970.0,UN_United Nations Population Division,Per 1000 population,5.0,
Slovakia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Slovakia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Slovakia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Slovenia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Slovenia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Slovenia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Solomon Islands,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Solomon Islands,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Solomon Islands,Total,1970.0,UN_United Nations Population Division,Per 1000 population,13.0,
Somalia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Somalia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,20.0,
Somalia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,24.0,
South Africa,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
South Africa,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
South Africa,Total,1970.0,UN_United Nations Population Division,Per 1000 population,14.0,
South Asia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,1.0
South Asia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,1.0
South Asia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,1.0
Spain,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Spain,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Spain,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Sri Lanka,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Sri Lanka,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Sri Lanka,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
State of Palestine,Total,2011.0,UN_United Nations Population Division,Per 1000 population,4.0,
State of Palestine,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
State of Palestine,Total,1970.0,UN_United Nations Population Division,Per 1000 population,13.0,
Sub-Saharan Africa,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,1.0
Sub-Saharan Africa,Total,1990.0,UN_United Nations Population Division,Per 1000 population,16.0,1.0
Sub-Saharan Africa,Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,1.0
Sudan (pre-cession),Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,2.0
Sudan (pre-cession),Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,2.0
Sudan (pre-cession),Total,1970.0,UN_United Nations Population Division,Per 1000 population,19.0,2.0
Suriname,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Suriname,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Suriname,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Swaziland,Total,2011.0,UN_United Nations Population Division,Per 1000 population,14.0,
Swaziland,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Swaziland,Total,1970.0,UN_United Nations Population Division,Per 1000 population,18.0,
Sweden,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
Sweden,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
Sweden,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Switzerland,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Switzerland,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Switzerland,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Syrian Arab Republic,Total,2011.0,UN_United Nations Population Division,Per 1000 population,4.0,
Syrian Arab Republic,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Syrian Arab Republic,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Tajikistan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Tajikistan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Tajikistan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Thailand,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Thailand,Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Thailand,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
The former Yugoslav Republic of Macedonia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
The former Yugoslav Republic of Macedonia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
The former Yugoslav Republic of Macedonia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,8.0,
Timor-Leste,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Timor-Leste,Total,1990.0,UN_United Nations Population Division,Per 1000 population,18.0,
Timor-Leste,Total,1970.0,UN_United Nations Population Division,Per 1000 population,23.0,
Togo,Total,2011.0,UN_United Nations Population Division,Per 1000 population,11.0,
Togo,Total,1990.0,UN_United Nations Population Division,Per 1000 population,14.0,
Togo,Total,1970.0,UN_United Nations Population Division,Per 1000 population,20.0,
Tonga,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Tonga,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Tonga,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Trinidad and Tobago,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Trinidad and Tobago,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Trinidad and Tobago,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Tunisia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Tunisia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,6.0,
Tunisia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,14.0,
Turkey,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Turkey,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Turkey,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Turkmenistan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
Turkmenistan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Turkmenistan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,11.0,
Uganda,Total,2011.0,UN_United Nations Population Division,Per 1000 population,12.0,
Uganda,Total,1990.0,UN_United Nations Population Division,Per 1000 population,17.0,
Uganda,Total,1970.0,UN_United Nations Population Division,Per 1000 population,16.0,
Ukraine,Total,2011.0,UN_United Nations Population Division,Per 1000 population,16.0,
Ukraine,Total,1990.0,UN_United Nations Population Division,Per 1000 population,13.0,
Ukraine,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
United Arab Emirates,Total,2011.0,UN_United Nations Population Division,Per 1000 population,1.0,
United Arab Emirates,Total,1990.0,UN_United Nations Population Division,Per 1000 population,3.0,
United Arab Emirates,Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
United Kingdom,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
United Kingdom,Total,1990.0,UN_United Nations Population Division,Per 1000 population,11.0,
United Kingdom,Total,1970.0,UN_United Nations Population Division,Per 1000 population,12.0,
United Republic of Tanzania,Total,2011.0,UN_United Nations Population Division,Per 1000 population,10.0,
United Republic of Tanzania,Total,1990.0,UN_United Nations Population Division,Per 1000 population,15.0,
United Republic of Tanzania,Total,1970.0,UN_United Nations Population Division,Per 1000 population,18.0,
United States,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,
United States,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
United States,Total,1970.0,UN_United Nations Population Division,Per 1000 population,9.0,
Uruguay,Total,2011.0,UN_United Nations Population Division,Per 1000 population,9.0,
Uruguay,Total,1990.0,UN_United Nations Population Division,Per 1000 population,10.0,
Uruguay,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Uzbekistan,Total,2011.0,UN_United Nations Population Division,Per 1000 population,7.0,
Uzbekistan,Total,1990.0,UN_United Nations Population Division,Per 1000 population,7.0,
Uzbekistan,Total,1970.0,UN_United Nations Population Division,Per 1000 population,10.0,
Vanuatu,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Vanuatu,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Vanuatu,Total,1970.0,UN_United Nations Population Division,Per 1000 population,14.0,
Venezuela (Bolivarian Republic of),Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Venezuela (Bolivarian Republic of),Total,1990.0,UN_United Nations Population Division,Per 1000 population,5.0,
Venezuela (Bolivarian Republic of),Total,1970.0,UN_United Nations Population Division,Per 1000 population,7.0,
Viet Nam,Total,2011.0,UN_United Nations Population Division,Per 1000 population,5.0,
Viet Nam,Total,1990.0,UN_United Nations Population Division,Per 1000 population,8.0,
Viet Nam,Total,1970.0,UN_United Nations Population Division,Per 1000 population,18.0,
Western and Central Africa,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,1.0
Western and Central Africa,Total,1990.0,UN_United Nations Population Division,Per 1000 population,18.0,1.0
Western and Central Africa,Total,1970.0,UN_United Nations Population Division,Per 1000 population,22.0,1.0
World,Total,2011.0,UN_United Nations Population Division,Per 1000 population,8.0,1.0
World,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,1.0
World,Total,1970.0,UN_United Nations Population Division,Per 1000 population,12.0,1.0
Yemen,Total,2011.0,UN_United Nations Population Division,Per 1000 population,6.0,
Yemen,Total,1990.0,UN_United Nations Population Division,Per 1000 population,12.0,
Yemen,Total,1970.0,UN_United Nations Population Division,Per 1000 population,24.0,
Zambia,Total,2011.0,UN_United Nations Population Division,Per 1000 population,15.0,
Zambia,Total,1990.0,UN_United Nations Population Division,Per 1000 population,17.0,
Zambia,Total,1970.0,UN_United Nations Population Division,Per 1000 population,17.0,
Zimbabwe,Total,2011.0,UN_United Nations Population Division,Per 1000 population,13.0,
Zimbabwe,Total,1990.0,UN_United Nations Population Division,Per 1000 population,9.0,
Zimbabwe,Total,1970.0,UN_United Nations Population Division,Per 1000 population,13.0,
