Country or Area,Subgroup,Year,Source,Unit,Population size,Population size Footnotes
Germany,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,8059.0,
Germany,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,10.0,
Ghana,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,11174.0,
Ghana,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3591.0,
Ghana,Total,2011.0,UN_United Nations Population Division,Thousand,24966.0,
Ghana,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,5412.0,
Ghana,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Greece,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2001.0,
Greece,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,600.0,
Greece,Total,2011.0,UN_United Nations Population Division,Thousand,11390.0,
Greece,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1087.0,
Greece,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,10.0,
Grenada,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,35.0,
Grenada,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,10.0,
Grenada,Total,2011.0,UN_United Nations Population Division,Thousand,105.0,
Grenada,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,20.0,
Grenada,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,20.0,
Guatemala,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,7072.0,
Guatemala,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2192.0,
Guatemala,Total,2011.0,UN_United Nations Population Division,Thousand,14757.0,
Guatemala,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,3467.0,
Guatemala,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Guinea,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,5045.0,
Guinea,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1691.0,
Guinea,Total,2011.0,UN_United Nations Population Division,Thousand,10222.0,
Guinea,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2334.0,
Guinea,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Guinea-Bissau,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,739.0,
Guinea-Bissau,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,244.0,
Guinea-Bissau,Total,2011.0,UN_United Nations Population Division,Thousand,1547.0,
Guinea-Bissau,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,349.0,
Guinea-Bissau,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Guyana,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,297.0,
Guyana,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,60.0,
Guyana,Total,2011.0,UN_United Nations Population Division,Thousand,756.0,
Guyana,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,181.0,
Guyana,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Haiti,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,4271.0,
Haiti,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1245.0,
Haiti,Total,2011.0,UN_United Nations Population Division,Thousand,10124.0,
Haiti,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2270.0,
Haiti,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Holy See,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,0.0,
Holy See,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,0.0,
Holy See,Total,2011.0,UN_United Nations Population Division,Thousand,0.0,
Honduras,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,3338.0,
Honduras,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,975.0,
Honduras,Total,2011.0,UN_United Nations Population Division,Thousand,7755.0,
Honduras,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1777.0,
Honduras,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Hungary,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1800.0,
Hungary,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,493.0,
Hungary,Total,2011.0,UN_United Nations Population Division,Thousand,9966.0,
Hungary,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1072.0,
Hungary,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,11.0,
Iceland,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,81.0,
Iceland,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,24.0,
Iceland,Total,2011.0,UN_United Nations Population Division,Thousand,324.0,
Iceland,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,45.0,
Iceland,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,14.0,
India,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,448336.0,
India,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,128542.0,
India,Total,2011.0,UN_United Nations Population Division,Thousand,1241492.0,
India,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,243492.0,
India,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,20.0,
Indonesia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,77471.0,
Indonesia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,21210.0,
Indonesia,Total,2011.0,UN_United Nations Population Division,Thousand,242326.0,
Indonesia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,42771.0,
Indonesia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,18.0,
Iran (Islamic Republic of),Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,20819.0,
Iran (Islamic Republic of),Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,6269.0,
Iran (Islamic Republic of),Total,2011.0,UN_United Nations Population Division,Thousand,74799.0,
Iran (Islamic Republic of),Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,12015.0,
Iran (Islamic Republic of),Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,16.0,
Iraq,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,16146.0,
Iraq,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,5294.0,
Iraq,Total,2011.0,UN_United Nations Population Division,Thousand,32665.0,
Iraq,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,7490.0,
Iraq,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Ireland,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1137.0,
Ireland,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,370.0,
Ireland,Total,2011.0,UN_United Nations Population Division,Thousand,4526.0,
Ireland,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,567.0,
Ireland,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,13.0,
Israel,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2417.0,
Israel,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,754.0,
Israel,Total,2011.0,UN_United Nations Population Division,Thousand,7562.0,
Israel,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1206.0,
Israel,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,16.0,
Italy,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,10308.0,
Italy,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2910.0,
Italy,Total,2011.0,UN_United Nations Population Division,Thousand,60789.0,
Italy,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,5742.0,
Italy,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,9.0,
Jamaica,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,956.0,
Jamaica,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,254.0,
Jamaica,Total,2011.0,UN_United Nations Population Division,Thousand,2751.0,
Jamaica,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,562.0,
Jamaica,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,21.0,
Japan,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,20375.0,
Japan,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,5418.0,
Japan,Total,2011.0,UN_United Nations Population Division,Thousand,126497.0,
Japan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,11799.0,
Japan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,9.0,
Jordan,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2747.0,
Jordan,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,817.0,
Jordan,Total,2011.0,UN_United Nations Population Division,Thousand,6330.0,
Jordan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1418.0,
Jordan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Kazakhstan,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,4800.0,
Kazakhstan,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1726.0,
Kazakhstan,Total,2011.0,UN_United Nations Population Division,Thousand,16207.0,
Kazakhstan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2402.0,
Kazakhstan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,15.0,
Kenya,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,20317.0,
Kenya,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,6805.0,
Kenya,Total,2011.0,UN_United Nations Population Division,Thousand,41610.0,
Kenya,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,9322.0,
Kenya,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Kiribati,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,36.0,
Kiribati,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,10.0,
Kiribati,Total,2011.0,UN_United Nations Population Division,Thousand,101.0,
Kuwait,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,863.0,
Kuwait,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,282.0,
Kuwait,Total,2011.0,UN_United Nations Population Division,Thousand,2818.0,
Kuwait,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,394.0,
Kuwait,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,14.0,
Kyrgyzstan,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1957.0,
Kyrgyzstan,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,624.0,
Kyrgyzstan,Total,2011.0,UN_United Nations Population Division,Thousand,5393.0,
Kyrgyzstan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1082.0,
Kyrgyzstan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,20.0,
Lao People's Democratic Republic,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2581.0,
Lao People's Democratic Republic,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,682.0,
Lao People's Democratic Republic,Total,2011.0,UN_United Nations Population Division,Thousand,6288.0,
Lao People's Democratic Republic,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1509.0,
Lao People's Democratic Republic,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Latin America and Caribbean,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,195081.0,1.0
Latin America and Caribbean,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,52898.0,1.0
Latin America and Caribbean,Total,2011.0,UN_United Nations Population Division,Thousand,591212.0,1.0
Latin America and Caribbean,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,108552.0,1.0
Latin America and Caribbean,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,18.0,1.0
Latvia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,382.0,
Latvia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,117.0,
Latvia,Total,2011.0,UN_United Nations Population Division,Thousand,2243.0,
Latvia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,216.0,
Latvia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,10.0,
Least Developed Countries/Territories,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,395405.0,1.0
Least Developed Countries/Territories,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,124162.0,1.0
Least Developed Countries/Territories,Total,2011.0,UN_United Nations Population Division,Thousand,851103.0,1.0
Least Developed Countries/Territories,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,193984.0,1.0
Least Developed Countries/Territories,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,1.0
Lebanon,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1271.0,
Lebanon,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,328.0,
Lebanon,Total,2011.0,UN_United Nations Population Division,Thousand,4259.0,
Lebanon,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,772.0,
Lebanon,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,18.0,
Lesotho,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,970.0,
Lesotho,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,276.0,
Lesotho,Total,2011.0,UN_United Nations Population Division,Thousand,2194.0,
Lesotho,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,531.0,
Lesotho,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Liberia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2057.0,
Liberia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,700.0,
Liberia,Total,2011.0,UN_United Nations Population Division,Thousand,4129.0,
Liberia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,921.0,
Liberia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Libya,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2293.0,
Libya,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,717.0,
Libya,Total,2011.0,UN_United Nations Population Division,Thousand,6423.0,
Libya,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1117.0,
Libya,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,17.0,
Liechtenstein,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,7.0,
Liechtenstein,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2.0,
Liechtenstein,Total,2011.0,UN_United Nations Population Division,Thousand,36.0,
Lithuania,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,616.0,
Lithuania,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,173.0,
Lithuania,Total,2011.0,UN_United Nations Population Division,Thousand,3307.0,
Lithuania,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,391.0,
Lithuania,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,12.0,
Luxembourg,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,110.0,
Luxembourg,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,29.0,
Luxembourg,Total,2011.0,UN_United Nations Population Division,Thousand,516.0,
Luxembourg,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,63.0,
Luxembourg,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,12.0,
Madagascar,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,10570.0,
Madagascar,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3378.0,
Madagascar,Total,2011.0,UN_United Nations Population Division,Thousand,21315.0,
Madagascar,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,5060.0,
Madagascar,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Malawi,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,8116.0,
Malawi,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2829.0,
Malawi,Total,2011.0,UN_United Nations Population Division,Thousand,15381.0,
Malawi,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,3673.0,
Malawi,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Malaysia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,10244.0,
Malaysia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2796.0,
Malaysia,Total,2011.0,UN_United Nations Population Division,Thousand,28859.0,
Malaysia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,5537.0,
Malaysia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,19.0,
Maldives,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,104.0,
Maldives,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,26.0,
Maldives,Total,2011.0,UN_United Nations Population Division,Thousand,320.0,
Maldives,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,66.0,
Maldives,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,21.0,
Mali,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,8525.0,
Mali,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2995.0,
Mali,Total,2011.0,UN_United Nations Population Division,Thousand,15840.0,
Mali,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,3723.0,
Mali,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Malta,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,77.0,
Malta,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,20.0,
Malta,Total,2011.0,UN_United Nations Population Division,Thousand,418.0,
Malta,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,50.0,
Malta,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,12.0,
Marshall Islands,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,20.0,
Marshall Islands,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,5.0,
Marshall Islands,Total,2011.0,UN_United Nations Population Division,Thousand,55.0,
Mauritania,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1635.0,
Mauritania,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,522.0,
Mauritania,Total,2011.0,UN_United Nations Population Division,Thousand,3542.0,
Mauritania,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,791.0,
Mauritania,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Mauritius,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,344.0,
Mauritius,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,81.0,
Mauritius,Total,2011.0,UN_United Nations Population Division,Thousand,1307.0,
Mauritius,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,211.0,
Mauritius,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,16.0,
Mexico,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,39440.0,
Mexico,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,10943.0,
Mexico,Total,2011.0,UN_United Nations Population Division,Thousand,114793.0,
Mexico,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,21658.0,
Mexico,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,19.0,
Micronesia (Federated States of),Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,48.0,
Micronesia (Federated States of),Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,13.0,
Micronesia (Federated States of),Total,2011.0,UN_United Nations Population Division,Thousand,112.0,
Micronesia (Federated States of),Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,27.0,
Micronesia (Federated States of),Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Middle East and North Africa,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,157845.0,1.0
Middle East and North Africa,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,48169.0,1.0
Middle East and North Africa,Total,2011.0,UN_United Nations Population Division,Thousand,415633.0,1.0
Middle East and North Africa,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,82134.0,1.0
Middle East and North Africa,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,20.0,1.0
Monaco,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,7.0,
Monaco,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2.0,
Monaco,Total,2011.0,UN_United Nations Population Division,Thousand,35.0,
Mongolia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,934.0,
Mongolia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,317.0,
Mongolia,Total,2011.0,UN_United Nations Population Division,Thousand,2800.0,
Mongolia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,500.0,
Mongolia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,18.0,
Montenegro,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,145.0,
Montenegro,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,39.0,
Montenegro,Total,2011.0,UN_United Nations Population Division,Thousand,632.0,
Montenegro,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,83.0,
Montenegro,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,13.0,
Morocco,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,10790.0,
Morocco,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3048.0,
Morocco,Total,2011.0,UN_United Nations Population Division,Thousand,32273.0,
Morocco,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,6094.0,
Morocco,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,19.0,
Mozambique,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,12086.0,
Mozambique,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3877.0,
Mozambique,Total,2011.0,UN_United Nations Population Division,Thousand,23930.0,
Mozambique,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,5577.0,
Mozambique,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Myanmar,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,14832.0,
Myanmar,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3981.0,
Myanmar,Total,2011.0,UN_United Nations Population Division,Thousand,48337.0,
Myanmar,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,8665.0,
Myanmar,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,18.0,
Namibia,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,994.0,
Namibia,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,288.0,
Namibia,Total,2011.0,UN_United Nations Population Division,Thousand,2324.0,
Namibia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,530.0,
Namibia,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Nauru,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,4.0,
Nauru,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,1.0,
Nauru,Total,2011.0,UN_United Nations Population Division,Thousand,10.0,
Nepal,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,12883.0,
Nepal,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3453.0,
Nepal,Total,2011.0,UN_United Nations Population Division,Thousand,30486.0,
Nepal,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,7043.0,
Nepal,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Netherlands,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,3526.0,
Netherlands,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,907.0,
Netherlands,Total,2011.0,UN_United Nations Population Division,Thousand,16665.0,
Netherlands,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,2019.0,
Netherlands,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,12.0,
New Zealand,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1091.0,
New Zealand,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,320.0,
New Zealand,Total,2011.0,UN_United Nations Population Division,Thousand,4415.0,
New Zealand,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,612.0,
New Zealand,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,14.0,
Nicaragua,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,2390.0,
Nicaragua,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,684.0,
Nicaragua,Total,2011.0,UN_United Nations Population Division,Thousand,5870.0,
Nicaragua,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,1319.0,
Nicaragua,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Niger,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,8922.0,
Niger,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,3196.0,
Niger,Total,2011.0,UN_United Nations Population Division,Thousand,16069.0,
Niger,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,3776.0,
Niger,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,24.0,
Nigeria,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,79931.0,
Nigeria,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,27195.0,
Nigeria,Total,2011.0,UN_United Nations Population Division,Thousand,162471.0,
Nigeria,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,36205.0,
Nigeria,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,22.0,
Niue,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1.0,
Niue,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,0.0,
Niue,Total,2011.0,UN_United Nations Population Division,Thousand,1.0,
Norway,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1117.0,
Norway,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,309.0,
Norway,Total,2011.0,UN_United Nations Population Division,Thousand,4925.0,
Norway,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,646.0,
Norway,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,13.0,
Oman,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,910.0,
Oman,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,290.0,
Oman,Total,2011.0,UN_United Nations Population Division,Thousand,2846.0,
Oman,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,462.0,
Oman,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,16.0,
Pakistan,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,73756.0,
Pakistan,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,22064.0,
Pakistan,Total,2011.0,UN_United Nations Population Division,Thousand,176745.0,
Pakistan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,39894.0,
Pakistan,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,23.0,
Palau,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,7.0,
Palau,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,2.0,
Palau,Total,2011.0,UN_United Nations Population Division,Thousand,21.0,
Panama,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,1213.0,
Panama,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,345.0,
Panama,Total,2011.0,UN_United Nations Population Division,Thousand,3571.0,
Panama,Total 10-19 yr,2011.0,UN_United Nations Population Division,Thousand,646.0,
Panama,Total 10-19 yr,2011.0,UN_United Nations Population Division,Percent,18.0,
Papua New Guinea,Total <18 yr,2011.0,UN_United Nations Population Division,Thousand,3168.0,
Papua New Guinea,Total <5 yr,2011.0,UN_United Nations Population Division,Thousand,975.0,
Papua New Guinea,Total,2011.0,UN_United Nations Population Division,Thousand,7014.0,
