Country or Area,Subgroup,Year,Source,Unit,Gross enrolment ratio in pre-primary education,Gross enrolment ratio in pre-primary education Footnotes
State of Palestine,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,40.0,1.0
Sub-Saharan Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,18.0,2.0
Sub-Saharan Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,18.0,2.0
Suriname,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,1.0
Suriname,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Swaziland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,23.0,1.0
Swaziland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,22.0,1.0
Sweden,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Sweden,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Switzerland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Switzerland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Syrian Arab Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,9.0,1.0
Syrian Arab Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,10.0,1.0
Tajikistan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,8.0,1.0
Tajikistan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,9.0,1.0
Thailand,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Thailand,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
The former Yugoslav Republic of Macedonia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,26.0,1.0
The former Yugoslav Republic of Macedonia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,25.0,1.0
Togo,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,9.0,1.0
Togo,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,9.0,1.0
Turkey,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,21.0,1.0
Turkey,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,22.0,1.0
Uganda,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Uganda,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,1.0
Ukraine,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Ukraine,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
United Kingdom,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
United Kingdom,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
United Republic of Tanzania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,34.0,1.0
United Republic of Tanzania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,33.0,1.0
United States,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,70.0,1.0
United States,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Uruguay,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Uruguay,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Uzbekistan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,26.0,1.0
Uzbekistan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,26.0,1.0
Vanuatu,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,59.0,1.0
Vanuatu,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,58.0,1.0
Venezuela (Bolivarian Republic of),Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Venezuela (Bolivarian Republic of),Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Viet Nam,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Viet Nam,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Western and Central Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,2.0
Western and Central Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,14.0,2.0
World,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,48.0,2.0
World,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,48.0,2.0
Yemen,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,1.0,1.0
Yemen,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,1.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. Estimates based on administrative data from national Education Management Information Systems (EMIS) with UN population estimates.,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX. Estimates based on administrative data from national Education Management Information Systems (EMIS) with UN population estimates.",,,,,
