Country or Area,Subgroup,Year,Source,Unit,Life expectancy at birth,Life expectancy at birth Footnotes
Republic of Moldova,Total,2011.0,UN_United Nations Population Division,Years,69.0,
Republic of Moldova,Total,1990.0,UN_United Nations Population Division,Years,68.0,
Republic of Moldova,Total,1970.0,UN_United Nations Population Division,Years,65.0,
Romania,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Romania,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Romania,Total,1970.0,UN_United Nations Population Division,Years,68.0,
Russian Federation,Total,2011.0,UN_United Nations Population Division,Years,69.0,
Russian Federation,Total,1990.0,UN_United Nations Population Division,Years,68.0,
Russian Federation,Total,1970.0,UN_United Nations Population Division,Years,69.0,
Rwanda,Total,2011.0,UN_United Nations Population Division,Years,55.0,
Rwanda,Total,1990.0,UN_United Nations Population Division,Years,33.0,
Rwanda,Total,1970.0,UN_United Nations Population Division,Years,44.0,
Saint Lucia,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Saint Lucia,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Saint Lucia,Total,1970.0,UN_United Nations Population Division,Years,64.0,
Saint Vincent and the Grenadines,Total,2011.0,UN_United Nations Population Division,Years,72.0,
Saint Vincent and the Grenadines,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Saint Vincent and the Grenadines,Total,1970.0,UN_United Nations Population Division,Years,61.0,
Samoa,Total,2011.0,UN_United Nations Population Division,Years,72.0,
Samoa,Total,1990.0,UN_United Nations Population Division,Years,65.0,
Samoa,Total,1970.0,UN_United Nations Population Division,Years,55.0,
Sao Tome and Principe,Total,2011.0,UN_United Nations Population Division,Years,65.0,
Sao Tome and Principe,Total,1990.0,UN_United Nations Population Division,Years,61.0,
Sao Tome and Principe,Total,1970.0,UN_United Nations Population Division,Years,55.0,
Saudi Arabia,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Saudi Arabia,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Saudi Arabia,Total,1970.0,UN_United Nations Population Division,Years,52.0,
Senegal,Total,2011.0,UN_United Nations Population Division,Years,59.0,
Senegal,Total,1990.0,UN_United Nations Population Division,Years,53.0,
Senegal,Total,1970.0,UN_United Nations Population Division,Years,41.0,
Serbia,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Serbia,Total,1990.0,UN_United Nations Population Division,Years,72.0,
Serbia,Total,1970.0,UN_United Nations Population Division,Years,68.0,
Sierra Leone,Total,2011.0,UN_United Nations Population Division,Years,48.0,
Sierra Leone,Total,1990.0,UN_United Nations Population Division,Years,39.0,
Sierra Leone,Total,1970.0,UN_United Nations Population Division,Years,35.0,
Singapore,Total,2011.0,UN_United Nations Population Division,Years,81.0,
Singapore,Total,1990.0,UN_United Nations Population Division,Years,76.0,
Singapore,Total,1970.0,UN_United Nations Population Division,Years,68.0,
Slovakia,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Slovakia,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Slovakia,Total,1970.0,UN_United Nations Population Division,Years,70.0,
Slovenia,Total,2011.0,UN_United Nations Population Division,Years,79.0,
Slovenia,Total,1990.0,UN_United Nations Population Division,Years,73.0,
Slovenia,Total,1970.0,UN_United Nations Population Division,Years,69.0,
Solomon Islands,Total,2011.0,UN_United Nations Population Division,Years,68.0,
Solomon Islands,Total,1990.0,UN_United Nations Population Division,Years,57.0,
Solomon Islands,Total,1970.0,UN_United Nations Population Division,Years,54.0,
Somalia,Total,2011.0,UN_United Nations Population Division,Years,51.0,
Somalia,Total,1990.0,UN_United Nations Population Division,Years,45.0,
Somalia,Total,1970.0,UN_United Nations Population Division,Years,40.0,
South Africa,Total,2011.0,UN_United Nations Population Division,Years,53.0,
South Africa,Total,1990.0,UN_United Nations Population Division,Years,62.0,
South Africa,Total,1970.0,UN_United Nations Population Division,Years,53.0,
South Asia,Total,2011.0,UN_United Nations Population Division,Years,66.0,1.0
South Asia,Total,1990.0,UN_United Nations Population Division,Years,59.0,1.0
South Asia,Total,1970.0,UN_United Nations Population Division,Years,49.0,1.0
Spain,Total,2011.0,UN_United Nations Population Division,Years,81.0,
Spain,Total,1990.0,UN_United Nations Population Division,Years,77.0,
Spain,Total,1970.0,UN_United Nations Population Division,Years,72.0,
Sri Lanka,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Sri Lanka,Total,1990.0,UN_United Nations Population Division,Years,70.0,
Sri Lanka,Total,1970.0,UN_United Nations Population Division,Years,63.0,
State of Palestine,Total,2011.0,UN_United Nations Population Division,Years,73.0,
State of Palestine,Total,1990.0,UN_United Nations Population Division,Years,68.0,
State of Palestine,Total,1970.0,UN_United Nations Population Division,Years,56.0,
Sub-Saharan Africa,Total,2011.0,UN_United Nations Population Division,Years,55.0,1.0
Sub-Saharan Africa,Total,1990.0,UN_United Nations Population Division,Years,50.0,1.0
Sub-Saharan Africa,Total,1970.0,UN_United Nations Population Division,Years,44.0,1.0
Sudan (pre-cession),Total,2011.0,UN_United Nations Population Division,Years,61.0,2.0
Sudan (pre-cession),Total,1990.0,UN_United Nations Population Division,Years,53.0,3.0
Sudan (pre-cession),Total,1970.0,UN_United Nations Population Division,Years,45.0,3.0
Suriname,Total,2011.0,UN_United Nations Population Division,Years,71.0,
Suriname,Total,1990.0,UN_United Nations Population Division,Years,67.0,
Suriname,Total,1970.0,UN_United Nations Population Division,Years,63.0,
Swaziland,Total,2011.0,UN_United Nations Population Division,Years,49.0,
Swaziland,Total,1990.0,UN_United Nations Population Division,Years,59.0,
Swaziland,Total,1970.0,UN_United Nations Population Division,Years,48.0,
Sweden,Total,2011.0,UN_United Nations Population Division,Years,81.0,
Sweden,Total,1990.0,UN_United Nations Population Division,Years,78.0,
Sweden,Total,1970.0,UN_United Nations Population Division,Years,74.0,
Switzerland,Total,2011.0,UN_United Nations Population Division,Years,82.0,
Switzerland,Total,1990.0,UN_United Nations Population Division,Years,78.0,
Switzerland,Total,1970.0,UN_United Nations Population Division,Years,73.0,
Syrian Arab Republic,Total,2011.0,UN_United Nations Population Division,Years,76.0,
Syrian Arab Republic,Total,1990.0,UN_United Nations Population Division,Years,71.0,
Syrian Arab Republic,Total,1970.0,UN_United Nations Population Division,Years,60.0,
Tajikistan,Total,2011.0,UN_United Nations Population Division,Years,68.0,
Tajikistan,Total,1990.0,UN_United Nations Population Division,Years,63.0,
Tajikistan,Total,1970.0,UN_United Nations Population Division,Years,60.0,
Thailand,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Thailand,Total,1990.0,UN_United Nations Population Division,Years,73.0,
Thailand,Total,1970.0,UN_United Nations Population Division,Years,60.0,
The former Yugoslav Republic of Macedonia,Total,2011.0,UN_United Nations Population Division,Years,75.0,
The former Yugoslav Republic of Macedonia,Total,1990.0,UN_United Nations Population Division,Years,71.0,
The former Yugoslav Republic of Macedonia,Total,1970.0,UN_United Nations Population Division,Years,66.0,
Timor-Leste,Total,2011.0,UN_United Nations Population Division,Years,62.0,
Timor-Leste,Total,1990.0,UN_United Nations Population Division,Years,46.0,
Timor-Leste,Total,1970.0,UN_United Nations Population Division,Years,40.0,
Togo,Total,2011.0,UN_United Nations Population Division,Years,57.0,
Togo,Total,1990.0,UN_United Nations Population Division,Years,53.0,
Togo,Total,1970.0,UN_United Nations Population Division,Years,45.0,
Tonga,Total,2011.0,UN_United Nations Population Division,Years,72.0,
Tonga,Total,1990.0,UN_United Nations Population Division,Years,70.0,
Tonga,Total,1970.0,UN_United Nations Population Division,Years,65.0,
Trinidad and Tobago,Total,2011.0,UN_United Nations Population Division,Years,70.0,
Trinidad and Tobago,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Trinidad and Tobago,Total,1970.0,UN_United Nations Population Division,Years,65.0,
Tunisia,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Tunisia,Total,1990.0,UN_United Nations Population Division,Years,69.0,
Tunisia,Total,1970.0,UN_United Nations Population Division,Years,54.0,
Turkey,Total,2011.0,UN_United Nations Population Division,Years,74.0,
Turkey,Total,1990.0,UN_United Nations Population Division,Years,63.0,
Turkey,Total,1970.0,UN_United Nations Population Division,Years,50.0,
Turkmenistan,Total,2011.0,UN_United Nations Population Division,Years,65.0,
Turkmenistan,Total,1990.0,UN_United Nations Population Division,Years,63.0,
Turkmenistan,Total,1970.0,UN_United Nations Population Division,Years,58.0,
Uganda,Total,2011.0,UN_United Nations Population Division,Years,54.0,
Uganda,Total,1990.0,UN_United Nations Population Division,Years,47.0,
Uganda,Total,1970.0,UN_United Nations Population Division,Years,50.0,
Ukraine,Total,2011.0,UN_United Nations Population Division,Years,68.0,
Ukraine,Total,1990.0,UN_United Nations Population Division,Years,70.0,
Ukraine,Total,1970.0,UN_United Nations Population Division,Years,71.0,
United Arab Emirates,Total,2011.0,UN_United Nations Population Division,Years,77.0,
United Arab Emirates,Total,1990.0,UN_United Nations Population Division,Years,72.0,
United Arab Emirates,Total,1970.0,UN_United Nations Population Division,Years,62.0,
United Kingdom,Total,2011.0,UN_United Nations Population Division,Years,80.0,
United Kingdom,Total,1990.0,UN_United Nations Population Division,Years,76.0,
United Kingdom,Total,1970.0,UN_United Nations Population Division,Years,72.0,
United Republic of Tanzania,Total,2011.0,UN_United Nations Population Division,Years,58.0,
United Republic of Tanzania,Total,1990.0,UN_United Nations Population Division,Years,51.0,
United Republic of Tanzania,Total,1970.0,UN_United Nations Population Division,Years,47.0,
United States,Total,2011.0,UN_United Nations Population Division,Years,79.0,
United States,Total,1990.0,UN_United Nations Population Division,Years,75.0,
United States,Total,1970.0,UN_United Nations Population Division,Years,71.0,
Uruguay,Total,2011.0,UN_United Nations Population Division,Years,77.0,
Uruguay,Total,1990.0,UN_United Nations Population Division,Years,73.0,
Uruguay,Total,1970.0,UN_United Nations Population Division,Years,69.0,
Uzbekistan,Total,2011.0,UN_United Nations Population Division,Years,68.0,
Uzbekistan,Total,1990.0,UN_United Nations Population Division,Years,67.0,
Uzbekistan,Total,1970.0,UN_United Nations Population Division,Years,63.0,
Vanuatu,Total,2011.0,UN_United Nations Population Division,Years,71.0,
Vanuatu,Total,1990.0,UN_United Nations Population Division,Years,63.0,
Vanuatu,Total,1970.0,UN_United Nations Population Division,Years,52.0,
Venezuela (Bolivarian Republic of),Total,2011.0,UN_United Nations Population Division,Years,74.0,
Venezuela (Bolivarian Republic of),Total,1990.0,UN_United Nations Population Division,Years,71.0,
Venezuela (Bolivarian Republic of),Total,1970.0,UN_United Nations Population Division,Years,64.0,
Viet Nam,Total,2011.0,UN_United Nations Population Division,Years,75.0,
Viet Nam,Total,1990.0,UN_United Nations Population Division,Years,66.0,
Viet Nam,Total,1970.0,UN_United Nations Population Division,Years,48.0,
Western and Central Africa,Total,2011.0,UN_United Nations Population Division,Years,53.0,1.0
Western and Central Africa,Total,1990.0,UN_United Nations Population Division,Years,48.0,1.0
Western and Central Africa,Total,1970.0,UN_United Nations Population Division,Years,42.0,1.0
World,Total,2011.0,UN_United Nations Population Division,Years,69.0,1.0
World,Total,1990.0,UN_United Nations Population Division,Years,65.0,1.0
World,Total,1970.0,UN_United Nations Population Division,Years,59.0,1.0
Yemen,Total,2011.0,UN_United Nations Population Division,Years,65.0,
Yemen,Total,1990.0,UN_United Nations Population Division,Years,56.0,
Yemen,Total,1970.0,UN_United Nations Population Division,Years,40.0,
Zambia,Total,2011.0,UN_United Nations Population Division,Years,49.0,
Zambia,Total,1990.0,UN_United Nations Population Division,Years,47.0,
Zambia,Total,1970.0,UN_United Nations Population Division,Years,49.0,
Zimbabwe,Total,2011.0,UN_United Nations Population Division,Years,51.0,
Zimbabwe,Total,1990.0,UN_United Nations Population Division,Years,61.0,
Zimbabwe,Total,1970.0,UN_United Nations Population Division,Years,55.0,
fnSeqID,Footnote,,,,,
1,"For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
2,"Because of the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the United Nations on 14 July 2011, disaggregated data for the Sudan and South Sudan as separate States are not yet available for most indicators. Aggregated data presented are for the Sudan pre-cession (see Memorandum item).",,,,,
3,"Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
