Country or Area,Subgroup,Year,Source,Unit,Adult support for learning,Adult support for learning Footnotes
Western and Central Africa,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,57.0,3.0
Western and Central Africa,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,77.0,3.0
Yemen,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,33.0,1.0
Yemen,Female,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,32.0,1.0
Yemen,Male,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,34.0,1.0
Yemen,Poorest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,16.0,1.0
Yemen,Richest 20%,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,56.0,1.0
fnSeqID,Footnote,,,,,
1,"Data refer to the most recent year available during the period specified in the column heading. Changes in the definitions of several ECD indicators were made between the third and fourth round of MICS (MICS3 and MICS4). In order to allow for comparability with MICS4, data from MICS3 for the adult support for learning, father's support for learning and learning materials at home (playthings) indicators were recalculated according to MICS4 indicator definitions. Therefore, the recalculated data presented here will differ from estimates reported in MICS3 national reports.",,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. Changes in the definitions of several ECD indicators were made between the third and fourth round of MICS (MICS3 and MICS4). In order to allow for comparability with MICS4, data from MICS3 for the adult support for learning, father's support for learning and learning materials at home (playthings) indicators were recalculated according to MICS4 indicator definitions. Therefore, the recalculated data presented here will differ from estimates reported in MICS3 national reports. Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. Changes in the definitions of several ECD indicators were made between the third and fourth round of MICS (MICS3 and MICS4). In order to allow for comparability with MICS4, data from MICS3 for the adult support for learning, father's support for learning and learning materials at home (playthings) indicators were recalculated according to MICS4 indicator definitions. Therefore, the recalculated data presented here will differ from estimates reported in MICS3 national reports. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
