Country or Area,Subgroup,Year,Source,Unit,Literacy rate of 15-24 year-olds,Literacy rate of 15-24 year-olds Footnotes
State of Palestine,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
State of Palestine,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Sub-Saharan Africa,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,3.0
Sub-Saharan Africa,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,3.0
Suriname,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Suriname,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Swaziland,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Swaziland,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Syrian Arab Republic,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Syrian Arab Republic,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Tajikistan,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Tajikistan,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Thailand,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,2.0
Thailand,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,2.0
The former Yugoslav Republic of Macedonia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
The former Yugoslav Republic of Macedonia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Timor-Leste,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Timor-Leste,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Togo,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Togo,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,88.0,1.0
Tonga,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,2.0
Tonga,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,2.0
Trinidad and Tobago,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Trinidad and Tobago,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Tunisia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Tunisia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Turkey,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Turkey,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Turkmenistan,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Turkmenistan,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Uganda,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,85.0,1.0
Uganda,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Ukraine,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Ukraine,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
United Arab Emirates,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,2.0
United Arab Emirates,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,2.0
United Republic of Tanzania,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
United Republic of Tanzania,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Uruguay,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Uruguay,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Uzbekistan,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Uzbekistan,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Vanuatu,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Vanuatu,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Venezuela (Bolivarian Republic of),Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Venezuela (Bolivarian Republic of),Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Viet Nam,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Viet Nam,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Western and Central Africa,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,61.0,3.0
Western and Central Africa,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,73.0,3.0
World,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,3.0
World,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,3.0
Yemen,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,74.0,1.0
Yemen,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Zambia,Female 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Zambia,Male 15-24 yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages, with the exception of 2005-2006 data from India. Estimates from data years prior to 2000 are not displayed.",,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
