Country or Area,Subgroup,Year,Source,Unit,Average annual population growth rate,Average annual population growth rate Footnotes
Guinea,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.8,
Guinea,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.3,1.0
Guinea,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,
Guinea-Bissau,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.2,1.0
Guinea-Bissau,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.1,
Guinea-Bissau,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,1.0
Guinea-Bissau,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,
Guyana,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Guyana,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,
Guyana,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Guyana,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,
Haiti,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,1.0
Haiti,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.7,
Haiti,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Haiti,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Holy See,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.1,1.0
Holy See,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-2.5,
Holy See,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.1,1.0
Holy See,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-2.5,
Honduras,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,1.0
Honduras,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.4,
Honduras,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Honduras,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,
Hungary,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Hungary,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,
Hungary,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.2,1.0
Hungary,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.2,
Iceland,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Iceland,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
Iceland,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Iceland,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,
India,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.3,1.0
India,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,
India,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
India,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Indonesia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,1.0
Indonesia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.7,
Indonesia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Indonesia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
Iran (Islamic Republic of),Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,1.0
Iran (Islamic Republic of),Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,
Iran (Islamic Republic of),Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,1.0
Iran (Islamic Republic of),Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
Iraq,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,1.0
Iraq,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.8,
Iraq,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.8,1.0
Iraq,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.0,
Ireland,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Ireland,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,
Ireland,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,1.0
Ireland,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Israel,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Israel,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,
Israel,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Israel,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,
Italy,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Italy,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
Italy,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Italy,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,
Jamaica,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,1.0
Jamaica,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,
Jamaica,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,1.0
Jamaica,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Japan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Japan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,
Japan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.3,1.0
Japan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,
Jordan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Jordan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.6,
Jordan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Jordan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,
Kazakhstan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Kazakhstan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.3,
Kazakhstan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Kazakhstan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.1,
Kenya,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.1,1.0
Kenya,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.4,
Kenya,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,1.0
Kenya,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,
Kiribati,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,1.0
Kiribati,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,
Kiribati,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Kiribati,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,
Kuwait,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,1.0
Kuwait,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Kuwait,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,1.0
Kuwait,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Kyrgyzstan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.8,1.0
Kyrgyzstan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Kyrgyzstan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Kyrgyzstan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,
Lao People's Democratic Republic,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.3,1.0
Lao People's Democratic Republic,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,5.7,
Lao People's Democratic Republic,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Lao People's Democratic Republic,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,
Latin America and Caribbean,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,2.0
Latin America and Caribbean,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,3.0
Latin America and Caribbean,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,2.0
Latin America and Caribbean,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,3.0
Latvia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.2,1.0
Latvia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.9,
Latvia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.4,1.0
Latvia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.8,
Least Developed Countries/Territories,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.6,2.0
Least Developed Countries/Territories,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.9,3.0
Least Developed Countries/Territories,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,2.0
Least Developed Countries/Territories,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,3.0
Lebanon,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,1.0
Lebanon,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,
Lebanon,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,1.0
Lebanon,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.8,
Lesotho,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,1.0
Lesotho,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.6,
Lesotho,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Lesotho,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Liberia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.2,1.0
Liberia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,
Liberia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,1.0
Liberia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.2,
Libya,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,1.0
Libya,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,
Libya,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Libya,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,
Liechtenstein,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Liechtenstein,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,
Liechtenstein,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Liechtenstein,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,
Lithuania,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.1,1.0
Lithuania,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.6,
Lithuania,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.4,1.0
Lithuania,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.5,
Luxembourg,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,1.0
Luxembourg,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Luxembourg,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Luxembourg,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Madagascar,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.3,1.0
Madagascar,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.6,
Madagascar,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,1.0
Madagascar,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.0,
Malawi,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.7,1.0
Malawi,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.8,
Malawi,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.2,1.0
Malawi,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,
Malaysia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,1.0
Malaysia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.0,
Malaysia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,1.0
Malaysia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,
Maldives,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,1.0
Maldives,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.0,
Maldives,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,1.0
Maldives,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.8,
Mali,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.3,1.0
Mali,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.8,
Mali,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.8,1.0
Mali,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,
Malta,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Malta,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,
Malta,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,1.0
Malta,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,
Marshall Islands,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Marshall Islands,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Marshall Islands,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Marshall Islands,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Mauritania,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.0,1.0
Mauritania,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,
Mauritania,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,1.0
Mauritania,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,
Mauritius,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Mauritius,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,
Mauritius,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Mauritius,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,
Mexico,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,1.0
Mexico,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,
Mexico,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,1.0
Mexico,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
Micronesia (Federated States of),Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,1.0
Micronesia (Federated States of),Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,
Micronesia (Federated States of),Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Micronesia (Federated States of),Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Middle East and North Africa,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,2.0
Middle East and North Africa,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,3.0
Middle East and North Africa,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,2.0
Middle East and North Africa,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,3.0
Monaco,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Monaco,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Monaco,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Monaco,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Mongolia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,1.0
Mongolia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,
Mongolia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,1.0
Mongolia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Montenegro,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Montenegro,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
Montenegro,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Montenegro,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,
Morocco,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Morocco,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,
Morocco,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Morocco,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
Mozambique,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.3,1.0
Mozambique,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.6,
Mozambique,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,1.0
Mozambique,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,
Myanmar,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,1.0
Myanmar,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.3,
Myanmar,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,1.0
Myanmar,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,
Namibia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.8,1.0
Namibia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.9,
Namibia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Namibia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,
Nauru,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Nauru,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,
Nauru,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Nauru,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,
Nepal,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.4,1.0
Nepal,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,5.3,
Nepal,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Nepal,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,
Netherlands,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,1.0
Netherlands,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Netherlands,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,1.0
Netherlands,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,
New Zealand,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
New Zealand,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
New Zealand,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,1.0
New Zealand,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Nicaragua,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Nicaragua,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,
Nicaragua,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Nicaragua,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,
Niger,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,5.3,1.0
Niger,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.2,
Niger,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.4,1.0
Niger,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.4,
Nigeria,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.5,1.0
Nigeria,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.1,
Nigeria,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,1.0
Nigeria,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,
Niue,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.5,1.0
Niue,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-1.4,
Niue,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-1.5,1.0
Niue,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-2.3,
Norway,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,1.0
Norway,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Norway,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Norway,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Oman,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,1.0
Oman,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,
Oman,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,1.0
Oman,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,
Pakistan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,1.0
Pakistan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.0,
Pakistan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Pakistan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,
Palau,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,1.0
Palau,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,
Palau,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Palau,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
Panama,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Panama,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.5,
Panama,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,1.0
Panama,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,
Papua New Guinea,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.6,1.0
Papua New Guinea,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,
Papua New Guinea,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,1.0
Papua New Guinea,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,
Paraguay,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,1.0
Paraguay,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.2,
Paraguay,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Paraguay,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,
Peru,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,1.0
Peru,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,
Peru,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Peru,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Philippines,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.3,1.0
Philippines,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,
Philippines,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Philippines,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,
Poland,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,1.0
Poland,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,
Poland,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.1,1.0
Poland,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,
Portugal,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,1.0
Portugal,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
Portugal,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.2,1.0
Portugal,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
Qatar,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,1.0
Qatar,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,6.8,
Qatar,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,1.0
Qatar,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,6.5,
Republic of Korea,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Republic of Korea,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,
Republic of Korea,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,1.0
Republic of Korea,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,
