Country or Area,Subgroup,Year,Source,Unit,Gross enrolment ratio in primary education,Gross enrolment ratio in primary education Footnotes
Senegal,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Serbia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Serbia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Seychelles,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,117.0,1.0
Seychelles,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,117.0,1.0
Sierra Leone,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,129.0,1.0
Sierra Leone,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,120.0,1.0
Slovakia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Slovakia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Slovenia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Slovenia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
South Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
South Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
South Asia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,2.0
South Asia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,2.0
Spain,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Spain,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Sri Lanka,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Sri Lanka,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
State of Palestine,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
State of Palestine,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Sub-Saharan Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,2.0
Sub-Saharan Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,2.0
Suriname,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
Suriname,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Swaziland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,121.0,1.0
Swaziland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Sweden,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Sweden,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Switzerland,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Switzerland,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Syrian Arab Republic,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,119.0,1.0
Syrian Arab Republic,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
Tajikistan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Tajikistan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Thailand,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Thailand,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
The former Yugoslav Republic of Macedonia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
The former Yugoslav Republic of Macedonia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Timor-Leste,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,119.0,1.0
Timor-Leste,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Togo,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,147.0,1.0
Togo,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,132.0,1.0
Trinidad and Tobago,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Trinidad and Tobago,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Tunisia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Tunisia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,1.0
Turkey,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Turkey,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Uganda,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,120.0,1.0
Uganda,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,122.0,1.0
Ukraine,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Ukraine,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
United Kingdom,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
United Kingdom,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
United Republic of Tanzania,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
United Republic of Tanzania,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
United States,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
United States,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Uruguay,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Uruguay,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,111.0,1.0
Uzbekistan,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Uzbekistan,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Vanuatu,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,120.0,1.0
Vanuatu,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,114.0,1.0
Venezuela (Bolivarian Republic of),Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Venezuela (Bolivarian Republic of),Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Viet Nam,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,109.0,1.0
Viet Nam,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Western and Central Africa,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,2.0
Western and Central Africa,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,86.0,2.0
World,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,107.0,2.0
World,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,2.0
Yemen,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Yemen,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Zambia,Male,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,115.0,1.0
Zambia,Female,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,116.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. Estimates based on administrative data from national Education Management Information Systems (EMIS) with UN population estimates.,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX. Estimates based on administrative data from national Education Management Information Systems (EMIS) with UN population estimates.",,,,,
