Country or Area,Subgroup,Year,Source,Unit,Antenatal care coverage (ANC),Antenatal care coverage (ANC) Footnotes
Viet Nam,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,94.0,1.0
Western and Central Africa,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,74.0,3.0
World,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,81.0,3.0
Yemen,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,47.0,2.0
Zambia,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,94.0,1.0
Zimbabwe,Female 15-49 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,90.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages, with the exception of 2005-2006 data from India. Estimates from data years prior to 2000 are not displayed.",,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
4,"Data refer to the most recent year available during the period specified in the column heading. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
