Country or Area,Subgroup,Year,Source,Unit,Proportion of population with access to improved sanitation,Proportion of population with access to improved sanitation Footnotes
France,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Gabon,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,30.0,
Gabon,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,33.0,
Gabon,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,33.0,
Gabon,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Gambia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,65.0,
Gambia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,70.0,
Gambia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,68.0,
Gambia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Georgia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Georgia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Georgia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Georgia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Germany,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Germany,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Germany,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Germany,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Ghana,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,8.0,
Ghana,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,19.0,
Ghana,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,14.0,
Ghana,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,2.4,
Greece,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Greece,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Greece,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Greece,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Grenada,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Grenada,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Grenada,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Grenada,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Guatemala,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,70.0,
Guatemala,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Guatemala,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,78.0,
Guatemala,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.2,
Guinea,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,11.0,
Guinea,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,32.0,
Guinea,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,18.0,
Guinea,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,2.9,
Guinea-Bissau,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,9.0,
Guinea-Bissau,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,44.0,
Guinea-Bissau,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,20.0,
Guinea-Bissau,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,4.9,
Guyana,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,82.0,
Guyana,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Guyana,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,84.0,
Guyana,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Haiti,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,10.0,
Haiti,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,24.0,
Haiti,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,17.0,
Haiti,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,2.4,
Honduras,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,69.0,
Honduras,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Honduras,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,77.0,
Honduras,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.2,
Hungary,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Hungary,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Hungary,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Hungary,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Iceland,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Iceland,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Iceland,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Iceland,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
India,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,23.0,
India,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,58.0,
India,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,34.0,
India,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,2.5,
Indonesia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,39.0,
Indonesia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,73.0,
Indonesia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,54.0,
Indonesia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.9,
Iran (Islamic Republic of),Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Iran (Islamic Republic of),Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Iran (Islamic Republic of),Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Iran (Islamic Republic of),Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Iraq,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,67.0,
Iraq,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,76.0,
Iraq,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,73.0,
Iraq,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Ireland,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Ireland,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Ireland,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,99.0,
Ireland,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Israel,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Israel,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Israel,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Israel,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Jamaica,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,82.0,
Jamaica,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,78.0,
Jamaica,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,80.0,
Jamaica,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Japan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Japan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Japan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Japan,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Jordan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Jordan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Jordan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Jordan,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Kazakhstan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Kazakhstan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Kazakhstan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Kazakhstan,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Kenya,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,32.0,
Kenya,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,32.0,
Kenya,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,32.0,
Kenya,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Kuwait,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Kuwait,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Kuwait,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Kuwait,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Kyrgyzstan,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Kyrgyzstan,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,94.0,
Kyrgyzstan,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,93.0,
Kyrgyzstan,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Lao People's Democratic Republic,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,50.0,
Lao People's Democratic Republic,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Lao People's Democratic Republic,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,63.0,
Lao People's Democratic Republic,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.8,
Latin America and Caribbean,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,60.0,1.0
Latin America and Caribbean,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,84.0,1.0
Latin America and Caribbean,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,79.0,2.0
Latin America and Caribbean,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.4,1.0
Least Developed Countries/Territories,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,30.0,1.0
Least Developed Countries/Territories,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,48.0,1.0
Least Developed Countries/Territories,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,35.0,2.0
Least Developed Countries/Territories,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.6,1.0
Lebanon,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Lesotho,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,24.0,
Lesotho,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,32.0,
Lesotho,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,26.0,
Lesotho,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.3,
Liberia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,7.0,
Liberia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,29.0,
Liberia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,18.0,
Liberia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,4.1,
Libya,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Libya,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Libya,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Libya,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Lithuania,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Luxembourg,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Luxembourg,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Luxembourg,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Luxembourg,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Madagascar,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,12.0,
Madagascar,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,21.0,
Madagascar,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,15.0,
Madagascar,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.8,
Malawi,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,51.0,
Malawi,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,49.0,
Malawi,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,51.0,
Malawi,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Malaysia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,95.0,
Malaysia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Malaysia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,96.0,
Malaysia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Maldives,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Maldives,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,98.0,
Maldives,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,97.0,
Maldives,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Mali,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,14.0,
Mali,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,35.0,
Mali,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,22.0,
Mali,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,2.5,
Malta,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Malta,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Malta,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Malta,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Marshall Islands,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,53.0,
Marshall Islands,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Marshall Islands,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,75.0,
Marshall Islands,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.6,
Mauritania,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,9.0,
Mauritania,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,51.0,
Mauritania,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,26.0,
Mauritania,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,5.7,
Mauritius,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,88.0,
Mauritius,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,
Mauritius,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,89.0,
Mauritius,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Mexico,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,79.0,
Mexico,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Mexico,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,85.0,
Mexico,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Middle East and North Africa,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,70.0,1.0
Middle East and North Africa,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,91.0,1.0
Middle East and North Africa,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,82.0,2.0
Middle East and North Africa,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.3,1.0
Monaco,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Monaco,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Mongolia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,29.0,
Mongolia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,64.0,
Mongolia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,51.0,
Mongolia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,2.2,
Montenegro,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,87.0,
Montenegro,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,92.0,
Montenegro,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,90.0,
Montenegro,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Morocco,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,52.0,
Morocco,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Morocco,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,70.0,
Morocco,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.6,
Mozambique,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,5.0,
Mozambique,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,38.0,
Mozambique,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,18.0,
Mozambique,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,7.6,
Myanmar,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,73.0,
Myanmar,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,83.0,
Myanmar,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,76.0,
Myanmar,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.1,
Namibia,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,17.0,
Namibia,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,57.0,
Namibia,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,32.0,
Namibia,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,3.4,
Nauru,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,65.0,
Nauru,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,65.0,
Nepal,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,27.0,
Nepal,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,48.0,
Nepal,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,31.0,
Nepal,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.8,
Netherlands,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Netherlands,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Netherlands,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
Netherlands,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.0,
Nicaragua,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,37.0,
Nicaragua,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,63.0,
Nicaragua,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,52.0,
Nicaragua,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.7,
Niger,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,4.0,
Niger,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,34.0,
Niger,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,9.0,
Niger,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,8.5,
Nigeria,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,27.0,
Nigeria,Urban,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,35.0,
Nigeria,Total,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,31.0,
Nigeria,Ratio of urban to rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Ratio,1.3,
Niue,Rural,2010.0,"UN_UNICEF and World Health Organization (WHO), Joint Monitoring Programme",Percent,100.0,
