Country or Area,Subgroup,Year,Source,Unit,Prevalence of underweight (moderate and severe) - WHO,Prevalence of underweight (moderate and severe) - WHO Footnotes
Côte d'Ivoire,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,20.0,7.0
Côte d'Ivoire,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,9.0,7.0
Côte d'Ivoire,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,21.0,7.0
Côte d'Ivoire,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,6.0,7.0
Côte d'Ivoire,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,3.4,7.0
Côte d'Ivoire,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.2,7.0
Democratic People's Republic of Korea,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,19.0,2.0
Democratic People's Republic of Korea,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,27.0,3.0
Democratic People's Republic of Korea,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,13.0,3.0
Democratic People's Republic of Korea,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.0,3.0
Democratic Republic of the Congo,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,24.0,2.0
Democratic Republic of the Congo,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,27.0,3.0
Democratic Republic of the Congo,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,17.0,3.0
Democratic Republic of the Congo,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,29.0,3.0
Democratic Republic of the Congo,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,12.0,3.0
Democratic Republic of the Congo,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.3,3.0
Democratic Republic of the Congo,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.6,3.0
Djibouti,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,23.0,5.0
Djibouti,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,27.0,8.0
Djibouti,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,18.0,8.0
Djibouti,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.5,8.0
Dominican Republic,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,3.0,2.0
Dominican Republic,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,4.0,3.0
Dominican Republic,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,3.0,3.0
Dominican Republic,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,5.0,3.0
Dominican Republic,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,1.0,3.0
Dominican Republic,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,4.4,3.0
Dominican Republic,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.2,3.0
East Asia and Pacific,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,6.0,6.0
East Asia and Pacific,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,10.0,9.0
East Asia and Pacific,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,5.0,9.0
East Asia and Pacific,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,24.0,10.0
East Asia and Pacific,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,10.0,10.0
East Asia and Pacific,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.5,10.0
East Asia and Pacific,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.0,9.0
Eastern and Southern Africa,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,18.0,6.0
Eastern and Southern Africa,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,20.0,9.0
Eastern and Southern Africa,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,12.0,9.0
Eastern and Southern Africa,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,26.0,9.0
Eastern and Southern Africa,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,12.0,9.0
Eastern and Southern Africa,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.2,9.0
Eastern and Southern Africa,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.7,9.0
Ecuador,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,6.0,1.0
Egypt,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,6.0,2.0
Egypt,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,6.0,3.0
Egypt,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,6.0,3.0
Egypt,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,8.0,3.0
Egypt,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,5.0,3.0
Egypt,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.4,3.0
Egypt,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.0,3.0
El Salvador,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,6.0,5.0
El Salvador,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,7.0,8.0
El Salvador,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,4.0,8.0
El Salvador,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,12.0,8.0
El Salvador,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,1.0,8.0
El Salvador,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,12.9,8.0
El Salvador,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.0,8.0
Equatorial Guinea,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,11.0,1.0
Eritrea,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,35.0,1.0
Eritrea,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,40.0,4.0
Eritrea,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,23.0,4.0
Eritrea,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.7,4.0
Ethiopia,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,29.0,2.0
Ethiopia,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,30.0,3.0
Ethiopia,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,16.0,3.0
Ethiopia,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,36.0,3.0
Ethiopia,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,15.0,3.0
Ethiopia,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.4,3.0
Ethiopia,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.9,3.0
Gabon,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,8.0,1.0
Gambia,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,18.0,2.0
Gambia,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,22.0,3.0
Gambia,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,12.0,3.0
Gambia,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,24.0,3.0
Gambia,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,9.0,3.0
Gambia,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.6,3.0
Gambia,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.9,3.0
Georgia,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,1.0,2.0
Georgia,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,1.0,3.0
Georgia,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,1.0,3.0
Georgia,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.6,3.0
Ghana,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,14.0,2.0
Ghana,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,16.0,3.0
Ghana,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,11.0,3.0
Ghana,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,19.0,3.0
Ghana,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,9.0,3.0
Ghana,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.2,3.0
Ghana,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.5,3.0
Guatemala,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,13.0,5.0
Guatemala,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,16.0,8.0
Guatemala,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,8.0,8.0
Guatemala,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,21.0,8.0
Guatemala,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,3.0,8.0
Guatemala,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,6.5,8.0
Guatemala,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.9,8.0
Guinea,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,21.0,2.0
Guinea,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,23.0,3.0
Guinea,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,15.0,3.0
Guinea,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,24.0,3.0
Guinea,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,19.0,3.0
Guinea,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.3,3.0
Guinea,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.5,3.0
Guinea-Bissau,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,18.0,2.0
Guinea-Bissau,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,21.0,3.0
Guinea-Bissau,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,13.0,3.0
Guinea-Bissau,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,22.0,3.0
Guinea-Bissau,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,11.0,3.0
Guinea-Bissau,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.1,3.0
Guinea-Bissau,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.6,3.0
Guyana,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,11.0,2.0
Guyana,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,12.0,3.0
Guyana,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,7.0,3.0
Guyana,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,16.0,3.0
Guyana,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,4.0,3.0
Guyana,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,3.8,3.0
Guyana,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.7,3.0
Haiti,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,18.0,1.0
Haiti,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,20.0,4.0
Haiti,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,12.0,4.0
Haiti,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,22.0,4.0
Haiti,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,6.0,4.0
Haiti,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,3.6,4.0
Haiti,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.7,4.0
Honduras,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,8.0,1.0
Honduras,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,11.0,4.0
Honduras,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,4.0,4.0
Honduras,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,16.0,4.0
Honduras,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,2.0,4.0
Honduras,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,8.1,4.0
Honduras,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.4,4.0
India,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,43.0,1.0
India,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,46.0,4.0
India,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,33.0,4.0
India,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,57.0,4.0
India,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,20.0,4.0
India,Ratio of poorest to richest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,2.9,4.0
India,Ratio of rural to urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Ratio,1.4,4.0
Indonesia,Total <5 yr,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,18.0,2.0
Indonesia,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,21.0,3.0
Indonesia,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,15.0,3.0
Indonesia,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,23.0,3.0
Indonesia,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, World Health Organization (WHO) and UNICEF",Percent,10.0,3.0
